Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total
 Naturalised Scrutiny Card (green),1,195,196
 National Registration Card (3-fold),26,1494,1520
 Religious card,51,415,466
 Temporary Registration Card (white),12,115,127
 Foreign Passport,-,23,23
 None,374,29178,29552
 Child under 10 years,724,24067,24791
 Total,4887,129654,134541
AREA # 060101,Dawei,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),56290,27324,83614
 Associate Scrutiny Card (blue),88,15,103
 Naturalised Scrutiny Card (green),294,25,319
 National Registration Card (3-fold),383,196,579
 Religious card,635,183,818
 Temporary Registration Card (white),214,41,255
 Foreign Registration Card (FRC),41,58,99
 Foreign Passport,73,108,181
 None,9834,8280,18114
 Child under 10 years,12265,9258,21523
 Total,80117,45488,125605
AREA # 060102,Lounglon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3666,60488,64154
 Associate Scrutiny Card (blue),1,49,50
 Naturalised Scrutiny Card (green),14,108,122
 National Registration Card (3-fold),8,1026,1034
 Religious card,40,484,524
 Temporary Registration Card (white),3,284,287
 Foreign Registration Card (FRC),-,5,5
 Foreign Passport,-,24,24
 None,669,25932,26601
 Child under 10 years,933,24583,25516
 Total,5334,112983,118317
AREA # 060103,Thayetchaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8264,55907,64171
 Associate Scrutiny Card (blue),5,35,40
 Naturalised Scrutiny Card (green),6,128,134
 National Registration Card (3-fold),74,1283,1357
 Religious card,39,318,357
 Temporary Registration Card (white),22,189,211
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,-,34,34
 None,931,15586,16517
 Child under 10 years,1963,20874,22837
 Total,11305,94357,105662
AREA # 060104,Yebyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3303,49668,52971
 Associate Scrutiny Card (blue),-,96,96
 Naturalised Scrutiny Card (green),5,119,124
 National Registration Card (3-fold),21,1791,1812
 Religious card,17,304,321
 Temporary Registration Card (white),45,220,265
 Foreign Registration Card (FRC),-,8,8
 Foreign Passport,1,424,425
 None,525,22362,22887
 Child under 10 years,827,21032,21859
 Total,4744,96024,100768
AREA # 060151,Myitta(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),1815,9064,10879
 Associate Scrutiny Card (blue),-,22,22
 Naturalised Scrutiny Card (green),3,46,49
 National Registration Card (3-fold),24,423,447
 Religious card,6,30,36
 Temporary Registration Card (white),23,34,57
 Foreign Registration Card (FRC),22,13,35
 Foreign Passport,1,24,25
 None,597,3700,4297
 Child under 10 years,851,4661,5512
 Total,3342,18017,21359
AREA # 060152,Kaleinaung(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2067,10784,12851
 Associate Scrutiny Card (blue),-,8,8
 Naturalised Scrutiny Card (green),10,17,27
 National Registration Card (3-fold),26,139,165
 Religious card,8,34,42
 Temporary Registration Card (white),3,15,18
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,-,1,1
 None,421,3606,4027
 Child under 10 years,579,4145,4724
 Total,3114,18751,21865
AREA # 060201,Myeik,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),67956,85162,153118
 Associate Scrutiny Card (blue),152,45,197
 Naturalised Scrutiny Card (green),683,378,1061
 National Registration Card (3-fold),2876,5029,7905
 Religious card,682,650,1332
 Temporary Registration Card (white),592,179,771
 Foreign Registration Card (FRC),130,15,145
 Foreign Passport,80,77,157
 None,21803,40184,61987
 Child under 10 years,20187,37629,57816
 Total,115141,169348,284489
AREA # 060202,Kyunsu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3849,69712,73561
 Associate Scrutiny Card (blue),-,40,40
 Naturalised Scrutiny Card (green),5,139,144
 National Registration Card (3-fold),54,1944,1998
 Religious card,12,267,279
 Temporary Registration Card (white),6,199,205
 Foreign Registration Card (FRC),-,4,4
 Foreign Passport,-,47,47
 None,581,50348,50929
 Child under 10 years,1041,43505,44546
 Total,5548,166205,171753
AREA # 060203,Palaw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11855,39980,51835
 Associate Scrutiny Card (blue),3,15,18
 Naturalised Scrutiny Card (green),21,92,113
 National Registration Card (3-fold),77,570,647
 Religious card,53,249,302
 Temporary Registration Card (white),19,106,125
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,3,6,9
 None,3161,15500,18661
 Child under 10 years,3739,17983,21722
 Total,18936,74502,93438
AREA # 060204,Tanintharyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3768,47510,51278
 Associate Scrutiny Card (blue),-,35,35
 Naturalised Scrutiny Card (green),6,159,165
 National Registration Card (3-fold),69,2151,2220
 Religious card,31,214,245
 Temporary Registration Card (white),4,403,407
 Foreign Registration Card (FRC),-,29,29
 Foreign Passport,1,12,13
 None,648,25519,26167
 Child under 10 years,987,25307,26294
 Total,5514,101339,106853
AREA # 060251,Palauk(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3363,15154,18517
 Associate Scrutiny Card (blue),1,2,3
 Naturalised Scrutiny Card (green),15,26,41
 National Registration Card (3-fold),51,408,459
 Religious card,16,69,85
 Temporary Registration Card (white),21,6,27
 Foreign Passport,-,2,2
 None,1261,6606,7867
 Child under 10 years,1448,8105,9553
 Total,6176,30378,36554
AREA # 060301,Kawthoung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),33900,24150,58050
 Associate Scrutiny Card (blue),27,28,55
 Naturalised Scrutiny Card (green),117,206,323
 National Registration Card (3-fold),1663,3693,5356
 Religious card,331,192,523
 Temporary Registration Card (white),156,210,366
 Foreign Registration Card (FRC),59,4,63
 Foreign Passport,49,177,226
 None,10008,17019,27027
 Child under 10 years,11639,13352,24991
 Total,57949,59031,116980
AREA # 060302,Bokepyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3030,16062,19092
 Associate Scrutiny Card (blue),1,26,27
 Naturalised Scrutiny Card (green),24,126,150
 National Registration Card (3-fold),171,1585,1756
 Religious card,32,68,100
 Temporary Registration Card (white),5,344,349
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,1,10,11
 None,1061,12562,13623
 Child under 10 years,1059,10653,11712
 Total,5384,41437,46821
AREA # 060351,Khamaukgyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5307,6265,11572
 Associate Scrutiny Card (blue),8,7,15
 Naturalised Scrutiny Card (green),17,41,58
 National Registration Card (3-fold),146,326,472
 Religious card,11,35,46
 Temporary Registration Card (white),50,36,86
 Foreign Registration Card (FRC),-,2,2
 Foreign Passport,1,4,5
 None,2702,2806,5508
 Child under 10 years,2515,2761,5276
 Total,10757,12283,23040
AREA # 060352,Pyigyimandaing,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),2148,6130,8278
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),3,21,24
 National Registration Card (3-fold),30,144,174
 Religious card,9,23,32
 Temporary Registration Card (white),6,22,28
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,-,14,14
 None,637,3165,3802
 Child under 10 years,810,3438,4248
 Total,3646,12958,16604
AREA # 060353,Karathuri(ST),*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),901,8382,9283
 Associate Scrutiny Card (blue),-,11,11
 Naturalised Scrutiny Card (green),1,50,51
 National Registration Card (3-fold),1,219,220
 Religious card,5,32,37
 Temporary Registration Card (white),2,53,55
 Foreign Passport,1,7,8
 None,231,4025,4256
 Child under 10 years,270,4102,4372
 Total,1412,16881,18293
AREA # 070101,Bago,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),147374,115797,263171
 Associate Scrutiny Card (blue),240,43,283
 Naturalised Scrutiny Card (green),1713,577,2290
 National Registration Card (3-fold),2442,1695,4137
 Religious card,4178,1572,5750
 Temporary Registration Card (white),1026,676,1702
 Foreign Registration Card (FRC),71,28,99
 Foreign Passport,135,123,258
 None,56772,68125,124897
 Child under 10 years,40473,48374,88847
 Total,254424,237010,491434
AREA # 070102,Tanatpin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8009,52780,60789
 Associate Scrutiny Card (blue),28,65,93
 Naturalised Scrutiny Card (green),204,1407,1611
 National Registration Card (3-fold),98,474,572
 Religious card,96,411,507
 Temporary Registration Card (white),78,151,229
 Foreign Registration Card (FRC),4,13,17
 Foreign Passport,8,30,38
 None,4295,44000,48295
 Child under 10 years,3002,30134,33136
 Total,15822,129465,145287
AREA # 070103,Kawa,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9835,87856,97691
 Associate Scrutiny Card (blue),13,43,56
 Naturalised Scrutiny Card (green),406,1367,1773
 National Registration Card (3-fold),108,825,933
 Religious card,51,487,538
 Temporary Registration Card (white),68,281,349
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,1,30,31
 None,3796,49283,53079
 Child under 10 years,3114,39793,42907
 Total,17396,179967,197363
AREA # 070104,Waw,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12641,74417,87058
 Associate Scrutiny Card (blue),41,61,102
 Naturalised Scrutiny Card (green),232,883,1115
 National Registration Card (3-fold),233,856,1089
 Religious card,108,490,598
 Temporary Registration Card (white),154,217,371
 Foreign Registration Card (FRC),1,5,6
 Foreign Passport,1,37,38
 None,5256,41094,46350
 Child under 10 years,4476,34811,39287
 Total,23143,152871,176014
AREA # 070105,Nyaunglebin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),34086,74224,108310
 Associate Scrutiny Card (blue),74,24,98
 Naturalised Scrutiny Card (green),260,147,407
 National Registration Card (3-fold),426,257,683
 Religious card,382,487,869
 Temporary Registration Card (white),94,89,183
 Foreign Registration Card (FRC),26,3,29
 Foreign Passport,19,20,39
 None,13366,36839,50205
 Child under 10 years,10511,28149,38660
 Total,59244,140239,199483
AREA # 070106,Kyauktaga,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),17242,91574,108816
 Associate Scrutiny Card (blue),92,144,236
 Naturalised Scrutiny Card (green),1241,12129,13370
 National Registration Card (3-fold),236,601,837
 Religious card,185,523,708
 Temporary Registration Card (white),125,644,769
 Foreign Registration Card (FRC),13,21,34
 Foreign Passport,13,40,53
 None,6809,65565,72374
 Child under 10 years,5700,48315,54015
 Total,31656,219556,251212
AREA # 070107,Daik U,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),22015,82412,104427
 Associate Scrutiny Card (blue),59,68,127
 Naturalised Scrutiny Card (green),109,299,408
 National Registration Card (3-fold),304,792,1096
 Religious card,270,690,960
 Temporary Registration Card (white),64,366,430
 Foreign Registration Card (FRC),5,-,5
 Foreign Passport,6,26,32
 None,8696,45291,53987
 Child under 10 years,6949,34109,41058
 Total,38477,164053,202530
AREA # 070108,Shwegyin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13273,31632,44905
 Associate Scrutiny Card (blue),14,12,26
 Naturalised Scrutiny Card (green),77,117,194
 National Registration Card (3-fold),746,329,1075
 Religious card,199,268,467
 Temporary Registration Card (white),147,393,540
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,2,11,13
 None,5359,29942,35301
 Child under 10 years,4758,20177,24935
 Total,24579,82883,107462
AREA # 070201,Toungoo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),70087,84234,154321
 Associate Scrutiny Card (blue),244,58,302
 Naturalised Scrutiny Card (green),1470,378,1848
 National Registration Card (3-fold),2261,1474,3735
 Religious card,918,635,1553
 Temporary Registration Card (white),484,796,1280
 Foreign Registration Card (FRC),70,14,84
 Foreign Passport,26,45,71
 None,17231,34705,51936
 Child under 10 years,15798,31128,46926
 Total,108589,153467,262056
AREA # 070202,Yaedashe,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15790,92968,108758
 Associate Scrutiny Card (blue),41,55,96
 Naturalised Scrutiny Card (green),64,363,427
 National Registration Card (3-fold),171,1587,1758
 Religious card,147,813,960
 Temporary Registration Card (white),99,730,829
 Foreign Registration Card (FRC),2,13,15
 Foreign Passport,15,58,73
 None,4212,53430,57642
 Child under 10 years,3879,39156,43035
 Total,24420,189173,213593
AREA # 070203,Kyaukkyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6253,40437,46690
 Associate Scrutiny Card (blue),7,31,38
 Naturalised Scrutiny Card (green),13,464,477
 National Registration Card (3-fold),73,889,962
 Religious card,54,425,479
 Temporary Registration Card (white),47,471,518
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,3,54,57
 None,2190,35159,37349
 Child under 10 years,2175,24583,26758
 Total,10815,102514,113329
AREA # 070204,Pyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),36328,89939,126267
 Associate Scrutiny Card (blue),117,125,242
 Naturalised Scrutiny Card (green),1540,7124,8664
 National Registration Card (3-fold),900,1622,2522
 Religious card,302,563,865
 Temporary Registration Card (white),615,966,1581
 Foreign Registration Card (FRC),15,13,28
 Foreign Passport,32,49,81
 None,12835,51403,64238
 Child under 10 years,11196,41589,52785
 Total,63880,193393,257273
AREA # 070205,Oatwin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9056,77494,86550
 Associate Scrutiny Card (blue),8,64,72
 Naturalised Scrutiny Card (green),16,1088,1104
 National Registration Card (3-fold),56,922,978
 Religious card,137,480,617
 Temporary Registration Card (white),16,175,191
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,-,39,39
 None,2281,35596,37877
 Child under 10 years,2572,29826,32398
 Total,14143,145685,159828
AREA # 070206,Htantapin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6300,52713,59013
 Associate Scrutiny Card (blue),8,41,49
 Naturalised Scrutiny Card (green),13,235,248
 National Registration Card (3-fold),62,400,462
 Religious card,19,357,376
 Temporary Registration Card (white),23,239,262
 Foreign Passport,-,32,32
 None,1802,30395,32197
 Child under 10 years,1662,22975,24637
 Total,9889,107387,117276
AREA # 070301,Pyay,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),87979,75014,162993
 Associate Scrutiny Card (blue),226,21,247
 Naturalised Scrutiny Card (green),738,124,862
 National Registration Card (3-fold),1016,1513,2529
 Religious card,2294,516,2810
 Temporary Registration Card (white),1681,596,2277
 Foreign Registration Card (FRC),90,14,104
 Foreign Passport,53,39,92
 None,22844,24096,46940
 Child under 10 years,17940,14849,32789
 Total,134861,116782,251643
AREA # 070302,Paukkhaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),9798,63554,73352
 Associate Scrutiny Card (blue),5,28,33
 Naturalised Scrutiny Card (green),80,157,237
 National Registration Card (3-fold),54,789,843
 Religious card,51,314,365
 Temporary Registration Card (white),117,1509,1626
 Foreign Registration Card (FRC),-,4,4
 Foreign Passport,5,20,25
 None,2051,27357,29408
 Child under 10 years,1876,17087,18963
 Total,14037,110819,124856
AREA # 070303,Padaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12322,85199,97521
 Associate Scrutiny Card (blue),4,14,18
 Naturalised Scrutiny Card (green),44,182,226
 National Registration Card (3-fold),40,402,442
 Religious card,115,522,637
 Temporary Registration Card (white),43,179,222
 Foreign Passport,1,11,12
 None,2534,21470,24004
 Child under 10 years,2575,18557,21132
 Total,17678,126536,144214
AREA # 070304,Paunde,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),18624,67649,86273
 Associate Scrutiny Card (blue),37,56,93
 Naturalised Scrutiny Card (green),116,89,205
 National Registration Card (3-fold),49,418,467
 Religious card,154,292,446
 Temporary Registration Card (white),165,357,522
 Foreign Registration Card (FRC),20,3,23
 Foreign Passport,3,11,14
 None,3253,27503,30756
 Child under 10 years,3034,15728,18762
 Total,25455,112106,137561
AREA # 070305,Thegon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),11233,75765,86998
 Associate Scrutiny Card (blue),10,14,24
 Naturalised Scrutiny Card (green),83,184,267
 National Registration Card (3-fold),97,761,858
 Religious card,122,427,549
 Temporary Registration Card (white),296,1188,1484
 Foreign Registration Card (FRC),9,4,13
 Foreign Passport,6,12,18
 None,2007,22365,24372
 Child under 10 years,1889,14485,16374
 Total,15752,115205,130957
AREA # 070306,Shwedaung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),12769,64930,77699
 Associate Scrutiny Card (blue),2,18,20
 Naturalised Scrutiny Card (green),39,92,131
 National Registration Card (3-fold),40,757,797
 Religious card,206,460,666
 Temporary Registration Card (white),80,316,396
 Foreign Registration Card (FRC),1,-,1
 Foreign Passport,-,11,11
 None,2354,23103,25457
 Child under 10 years,2190,14303,16493
 Total,17681,103990,121671
AREA # 070401,Tharyarwaddy,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),22438,55843,78281
 Associate Scrutiny Card (blue),87,36,123
 Naturalised Scrutiny Card (green),294,308,602
 National Registration Card (3-fold),346,1146,1492
 Religious card,190,356,546
 Temporary Registration Card (white),56,174,230
 Foreign Registration Card (FRC),53,8,61
 Foreign Passport,10,9,19
 None,6925,34988,41913
 Child under 10 years,5416,22421,27837
 Total,35815,115289,151104
AREA # 070402,Letpadan,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14891,72354,87245
 Associate Scrutiny Card (blue),25,31,56
 Naturalised Scrutiny Card (green),149,207,356
 National Registration Card (3-fold),243,665,908
 Religious card,179,406,585
 Temporary Registration Card (white),95,718,813
 Foreign Registration Card (FRC),8,10,18
 Foreign Passport,5,15,20
 None,5301,48339,53640
 Child under 10 years,3896,29870,33766
 Total,24792,152615,177407
AREA # 070403,Minhla,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7963,64261,72224
 Associate Scrutiny Card (blue),63,22,85
 Naturalised Scrutiny Card (green),98,116,214
 National Registration Card (3-fold),20,349,369
 Religious card,174,343,517
 Temporary Registration Card (white),25,178,203
 Foreign Registration Card (FRC),39,4,43
 Foreign Passport,1,23,24
 None,1691,26167,27858
 Child under 10 years,1623,19331,20954
 Total,11697,110794,122491
AREA # 070404,Okpo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),7270,63063,70333
 Associate Scrutiny Card (blue),125,58,183
 Naturalised Scrutiny Card (green),62,265,327
 National Registration Card (3-fold),27,607,634
 Religious card,29,414,443
 Temporary Registration Card (white),47,189,236
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,-,12,12
 None,2174,31504,33678
 Child under 10 years,1787,19023,20810
 Total,11525,115137,126662
AREA # 070405,Zigon,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10121,30280,40401
 Associate Scrutiny Card (blue),29,11,40
 Naturalised Scrutiny Card (green),36,87,123
 National Registration Card (3-fold),42,258,300
 Religious card,81,168,249
 Temporary Registration Card (white),43,84,127
 Foreign Registration Card (FRC),12,1,13
 Foreign Passport,7,7,14
 None,2722,13752,16474
 Child under 10 years,2140,7642,9782
 Total,15233,52290,67523
AREA # 070406,Nattalin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),13004,83848,96852
 Associate Scrutiny Card (blue),14,43,57
 Naturalised Scrutiny Card (green),22,235,257
 National Registration Card (3-fold),94,1192,1286
 Religious card,295,479,774
 Temporary Registration Card (white),60,342,402
 Foreign Registration Card (FRC),5,2,7
 Foreign Passport,5,34,39
 None,3007,45057,48064
 Child under 10 years,2423,21980,24403
 Total,18929,153212,172141
AREA # 070407,Monyo,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),6171,60826,66997
 Associate Scrutiny Card (blue),2,35,37
 Naturalised Scrutiny Card (green),30,238,268
 National Registration Card (3-fold),44,886,930
 Religious card,67,260,327
 Temporary Registration Card (white),11,76,87
 Foreign Registration Card (FRC),20,7,27
 Foreign Passport,1,8,9
 None,1661,35609,37270
 Child under 10 years,1450,20168,21618
 Total,9457,118113,127570
AREA # 070408,Gyobingauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),15781,54437,70218
 Associate Scrutiny Card (blue),44,10,54
 Naturalised Scrutiny Card (green),117,200,317
 National Registration Card (3-fold),38,542,580
 Religious card,377,321,698
 Temporary Registration Card (white),36,117,153
 Foreign Registration Card (FRC),30,-,30
 Foreign Passport,12,11,23
 None,3520,25264,28784
 Child under 10 years,2992,13584,16576
 Total,22947,94486,117433
AREA # 080101,Magway,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),69804,117211,187015
 Associate Scrutiny Card (blue),55,33,88
 Naturalised Scrutiny Card (green),104,349,453
 National Registration Card (3-fold),314,3899,4213
 Religious card,698,982,1680
 Temporary Registration Card (white),78,120,198
 Foreign Registration Card (FRC),9,2,11
 Foreign Passport,35,27,62
 None,9839,37069,46908
 Child under 10 years,13102,35517,48619
 Total,94038,195209,289247
AREA # 080102,Yenangyoung,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),31466,53423,84889
 Associate Scrutiny Card (blue),44,19,63
 Naturalised Scrutiny Card (green),82,117,199
 National Registration Card (3-fold),302,1179,1481
 Religious card,450,284,734
 Temporary Registration Card (white),27,50,77
 Foreign Registration Card (FRC),27,-,27
 Foreign Passport,10,71,81
 None,6253,17184,23437
 Child under 10 years,6459,16780,23239
 Total,45120,89107,134227
AREA # 080103,Chauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),32341,85031,117372
 Associate Scrutiny Card (blue),63,21,84
 Naturalised Scrutiny Card (green),90,129,219
 National Registration Card (3-fold),106,842,948
 Religious card,462,469,931
 Temporary Registration Card (white),128,221,349
 Foreign Registration Card (FRC),16,2,18
 Foreign Passport,15,7,22
 None,5622,28423,34045
 Child under 10 years,6233,24968,31201
 Total,45076,140113,185189
AREA # 080104,Taungdwingyi,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),31369,138287,169656
 Associate Scrutiny Card (blue),85,44,129
 Naturalised Scrutiny Card (green),143,207,350
 National Registration Card (3-fold),177,2394,2571
 Religious card,241,563,804
 Temporary Registration Card (white),45,150,195
 Foreign Registration Card (FRC),14,-,14
 Foreign Passport,19,30,49
 None,6331,34175,40506
 Child under 10 years,7599,37987,45586
 Total,46023,213837,259860
AREA # 080105,Myothit,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),5962,96395,102357
 Associate Scrutiny Card (blue),2,26,28
 Naturalised Scrutiny Card (green),9,167,176
 National Registration Card (3-fold),12,1188,1200
 Religious card,33,402,435
 Temporary Registration Card (white),23,71,94
 Foreign Registration Card (FRC),3,-,3
 Foreign Passport,-,20,20
 None,681,22397,23078
 Child under 10 years,1355,30765,32120
 Total,8080,151431,159511
AREA # 080106,Natmauk,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),10420,121806,132226
 Associate Scrutiny Card (blue),18,26,44
 Naturalised Scrutiny Card (green),36,266,302
 National Registration Card (3-fold),56,1344,1400
 Religious card,71,652,723
 Temporary Registration Card (white),26,133,159
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,2,24,26
 None,1833,31211,33044
 Child under 10 years,2273,36795,39068
 Total,14737,192259,206996
AREA # 080201,Minbu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),25521,89470,114991
 Associate Scrutiny Card (blue),27,47,74
 Naturalised Scrutiny Card (green),99,263,362
 National Registration Card (3-fold),637,3040,3677
 Religious card,334,549,883
 Temporary Registration Card (white),90,138,228
 Foreign Registration Card (FRC),5,1,6
 Foreign Passport,12,19,31
 None,6697,29824,36521
 Child under 10 years,6137,25272,31409
 Total,39559,148623,188182
AREA # 080202,Pwint Phyu,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4588,93342,97930
 Associate Scrutiny Card (blue),-,40,40
 Naturalised Scrutiny Card (green),2,158,160
 National Registration Card (3-fold),5,974,979
 Religious card,42,618,660
 Temporary Registration Card (white),4,160,164
 Foreign Registration Card (FRC),6,1,7
 Foreign Passport,1,20,21
 None,775,34255,35030
 Child under 10 years,927,27774,28701
 Total,6350,157342,163692
AREA # 080203,Ngape,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),3127,31829,34956
 Associate Scrutiny Card (blue),1,6,7
 Naturalised Scrutiny Card (green),4,41,45
 National Registration Card (3-fold),1,49,50
 Religious card,41,148,189
 Temporary Registration Card (white),-,34,34
 Foreign Passport,-,11,11
 None,326,5917,6243
 Child under 10 years,565,10042,10607
 Total,4065,48077,52142
AREA # 080204,Salin,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),8630,123064,131694
 Associate Scrutiny Card (blue),5,59,64
 Naturalised Scrutiny Card (green),36,376,412
 National Registration Card (3-fold),189,4501,4690
 Religious card,162,816,978
 Temporary Registration Card (white),4,328,332
 Foreign Registration Card (FRC),1,12,13
 Foreign Passport,-,58,58
 None,1577,55355,56932
 Child under 10 years,1554,39306,40860
 Total,12158,223875,236033
AREA # 080205,Saytottara,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),4896,27159,32055
 Associate Scrutiny Card (blue),-,6,6
 Naturalised Scrutiny Card (green),10,23,33
 National Registration Card (3-fold),44,86,130
 Religious card,35,179,214
 Temporary Registration Card (white),23,21,44
 Foreign Passport,-,6,6
 None,481,5471,5952
 Child under 10 years,1025,8061,9086
 Total,6514,41012,47526
AREA # 080301,Thayet,*,*
Identity card,Urban/Rural,*,*
*,Urban,Rural,Total
 Citizenship Scrutiny Card (pink),14889,60202,75091
 Associate Scrutiny Card (blue),16,10,26
 Naturalised Scrutiny Card (green),55,78,133
 National Registration Card (3-fold),140,948,1088
 Religious card,133,330,463
