Activity_status,Sex_Male,Sex_Female,Sex_Total
" Ill, disabled",453,483,936
 Other,1431,444,1875
 Total,53665,64309,117974
NotApp :,26032,*,*
AREA # 050904,Kani,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1100,1178,2278
" Employee (Private, Org)",5891,4288,10179
 Employer,2039,652,2691
 Own account worker,17716,7890,25606
 Contributing family worker,7683,12660,20343
 Sought work,1549,1511,3060
 Did not seek work,191,138,329
 Full time student,8599,9409,18008
 Household work,301,16600,16901
" Pensioner, retired, elderly person",2857,4285,7142
" Ill, disabled",462,428,890
 Other,1524,799,2323
 Total,49912,59838,109750
NotApp :,24791,*,*
AREA # 060101,Dawei,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3347,3039,6386
" Employee (Private, Org)",14043,5864,19907
 Employer,1254,645,1899
 Own account worker,11553,8703,20256
 Contributing family worker,2113,2909,5022
 Sought work,1797,1045,2842
 Did not seek work,371,230,601
 Full time student,7152,8244,15396
 Household work,1091,17945,19036
" Pensioner, retired, elderly person",2800,4177,6977
" Ill, disabled",592,519,1111
 Other,2931,1718,4649
 Total,49044,55038,104082
NotApp :,21523,*,*
AREA # 060102,Lounglon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),674,1451,2125
" Employee (Private, Org)",13833,4859,18692
 Employer,1731,523,2254
 Own account worker,10240,9619,19859
 Contributing family worker,1710,3469,5179
 Sought work,1585,980,2565
 Did not seek work,296,196,492
 Full time student,7339,8294,15633
 Household work,1279,17066,18345
" Pensioner, retired, elderly person",2184,2877,5061
" Ill, disabled",609,598,1207
 Other,1049,340,1389
 Total,42529,50272,92801
NotApp :,25516,*,*
AREA # 060103,Thayetchaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),875,1421,2296
" Employee (Private, Org)",9824,2619,12443
 Employer,630,230,860
 Own account worker,10297,5753,16050
 Contributing family worker,2319,2675,4994
 Sought work,1932,1088,3020
 Did not seek work,292,179,471
 Full time student,6984,7769,14753
 Household work,1257,18203,19460
" Pensioner, retired, elderly person",2119,3093,5212
" Ill, disabled",723,623,1346
 Other,1368,552,1920
 Total,38620,44205,82825
NotApp :,22837,*,*
AREA # 060104,Yebyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2099,741,2840
" Employee (Private, Org)",9364,2936,12300
 Employer,456,142,598
 Own account worker,12747,7225,19972
 Contributing family worker,2053,2661,4714
 Sought work,1915,1132,3047
 Did not seek work,228,168,396
 Full time student,6754,6931,13685
 Household work,537,14099,14636
" Pensioner, retired, elderly person",1513,2093,3606
" Ill, disabled",409,392,801
 Other,1498,816,2314
 Total,39573,39336,78909
NotApp :,21859,*,*
AREA # 060151,Myitta(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),102,122,224
" Employee (Private, Org)",1475,636,2111
 Employer,101,56,157
 Own account worker,2948,1518,4466
 Contributing family worker,843,870,1713
 Sought work,268,149,417
 Did not seek work,27,10,37
 Full time student,1298,1373,2671
 Household work,161,2433,2594
" Pensioner, retired, elderly person",236,478,714
" Ill, disabled",71,85,156
 Other,304,283,587
 Total,7834,8013,15847
NotApp :,5512,*,*
AREA # 060152,Kaleinaung(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),881,131,1012
" Employee (Private, Org)",2393,755,3148
 Employer,186,59,245
 Own account worker,2556,1135,3691
 Contributing family worker,922,768,1690
 Sought work,184,73,257
 Did not seek work,31,13,44
 Full time student,1182,1294,2476
 Household work,82,3059,3141
" Pensioner, retired, elderly person",165,310,475
" Ill, disabled",63,40,103
 Other,542,317,859
 Total,9187,7954,17141
NotApp :,4724,*,*
AREA # 060201,Myeik,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5305,3532,8837
" Employee (Private, Org)",39397,15293,54690
 Employer,2079,804,2883
 Own account worker,24536,13076,37612
 Contributing family worker,3385,3549,6934
 Sought work,3660,2295,5955
 Did not seek work,768,409,1177
 Full time student,18217,20712,38929
 Household work,1259,46456,47715
" Pensioner, retired, elderly person",4899,6799,11698
" Ill, disabled",1109,858,1967
 Other,5686,2590,8276
 Total,110300,116373,226673
NotApp :,57816,*,*
AREA # 060202,Kyunsu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1492,906,2398
" Employee (Private, Org)",21154,6448,27602
 Employer,2264,385,2649
 Own account worker,18592,6887,25479
 Contributing family worker,5945,7959,13904
 Sought work,969,838,1807
 Did not seek work,535,583,1118
 Full time student,9634,10574,20208
 Household work,917,23362,24279
" Pensioner, retired, elderly person",1613,2411,4024
" Ill, disabled",500,406,906
 Other,1883,950,2833
 Total,65498,61709,127207
NotApp :,44546,*,*
AREA # 060203,Palaw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),697,1321,2018
" Employee (Private, Org)",9404,3338,12742
 Employer,844,165,1009
 Own account worker,8992,4190,13182
 Contributing family worker,1913,1457,3370
 Sought work,1087,616,1703
 Did not seek work,307,144,451
 Full time student,5588,6745,12333
 Household work,955,14981,15936
" Pensioner, retired, elderly person",1753,2317,4070
" Ill, disabled",482,349,831
 Other,2300,1771,4071
 Total,34322,37394,71716
NotApp :,21722,*,*
AREA # 060204,Tanintharyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1269,746,2015
" Employee (Private, Org)",6297,2290,8587
 Employer,569,265,834
 Own account worker,15459,6387,21846
 Contributing family worker,4292,3521,7813
 Sought work,1357,698,2055
 Did not seek work,315,170,485
 Full time student,6656,7181,13837
 Household work,650,14524,15174
" Pensioner, retired, elderly person",1238,1990,3228
" Ill, disabled",400,315,715
 Other,2820,1150,3970
 Total,41322,39237,80559
NotApp :,26294,*,*
AREA # 060251,Palauk(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),637,239,876
" Employee (Private, Org)",1458,297,1755
 Employer,283,52,335
 Own account worker,4354,1086,5440
 Contributing family worker,801,1199,2000
 Sought work,871,619,1490
 Did not seek work,942,468,1410
 Full time student,2314,2729,5043
 Household work,397,5797,6194
" Pensioner, retired, elderly person",633,889,1522
" Ill, disabled",190,173,363
 Other,384,189,573
 Total,13264,13737,27001
NotApp :,9553,*,*
AREA # 060301,Kawthoung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2174,1014,3188
" Employee (Private, Org)",17875,4786,22661
 Employer,1280,332,1612
 Own account worker,10523,5063,15586
 Contributing family worker,1707,1286,2993
 Sought work,1136,485,1621
 Did not seek work,430,234,664
 Full time student,6275,6824,13099
 Household work,1041,21207,22248
" Pensioner, retired, elderly person",1620,2268,3888
" Ill, disabled",418,334,752
 Other,2414,1263,3677
 Total,46893,45096,91989
NotApp :,24991,*,*
AREA # 060302,Bokepyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1330,306,1636
" Employee (Private, Org)",6180,1234,7414
 Employer,434,70,504
 Own account worker,5114,1706,6820
 Contributing family worker,1412,749,2161
 Sought work,304,138,442
 Did not seek work,114,47,161
 Full time student,2583,2621,5204
 Household work,428,8172,8600
" Pensioner, retired, elderly person",413,515,928
" Ill, disabled",96,79,175
 Other,709,355,1064
 Total,19117,15992,35109
NotApp :,11712,*,*
AREA # 060351,Khamaukgyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1231,97,1328
" Employee (Private, Org)",5103,1962,7065
 Employer,206,80,286
 Own account worker,1406,523,1929
 Contributing family worker,427,291,718
 Sought work,191,59,250
 Did not seek work,75,33,108
 Full time student,740,726,1466
 Household work,140,3573,3713
" Pensioner, retired, elderly person",118,129,247
" Ill, disabled",66,30,96
 Other,337,221,558
 Total,10040,7724,17764
NotApp :,5276,*,*
AREA # 060352,Pyigyimandaing,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),429,80,509
" Employee (Private, Org)",1466,395,1861
 Employer,71,38,109
 Own account worker,2215,737,2952
 Contributing family worker,561,271,832
 Sought work,101,16,117
 Did not seek work,37,10,47
 Full time student,991,1102,2093
 Household work,191,2614,2805
" Pensioner, retired, elderly person",122,190,312
" Ill, disabled",39,34,73
 Other,437,209,646
 Total,6660,5696,12356
NotApp :,4248,*,*
AREA # 060353,Karathuri(ST),*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),848,107,955
" Employee (Private, Org)",2944,829,3773
 Employer,142,21,163
 Own account worker,1523,443,1966
 Contributing family worker,796,603,1399
 Sought work,69,41,110
 Did not seek work,21,64,85
 Full time student,947,992,1939
 Household work,57,2742,2799
" Pensioner, retired, elderly person",130,208,338
" Ill, disabled",27,18,45
 Other,221,128,349
 Total,7725,6196,13921
NotApp :,4372,*,*
AREA # 070101,Bago,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),9942,5503,15445
" Employee (Private, Org)",59144,39574,98718
 Employer,6448,2685,9133
 Own account worker,46919,29684,76603
 Contributing family worker,6012,5031,11043
 Sought work,6532,3999,10531
 Did not seek work,1136,622,1758
 Full time student,27831,27843,55674
 Household work,2067,77096,79163
" Pensioner, retired, elderly person",7294,11977,19271
" Ill, disabled",1675,1498,3173
 Other,15703,6372,22075
 Total,190703,211884,402587
NotApp :,88847,*,*
AREA # 070102,Tanatpin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),704,941,1645
" Employee (Private, Org)",12699,6647,19346
 Employer,3621,882,4503
 Own account worker,14528,7663,22191
 Contributing family worker,2622,1814,4436
 Sought work,2119,1417,3536
 Did not seek work,326,170,496
 Full time student,8573,8445,17018
 Household work,687,25730,26417
" Pensioner, retired, elderly person",1892,3095,4987
" Ill, disabled",558,531,1089
 Other,4176,2311,6487
 Total,52505,59646,112151
NotApp :,33136,*,*
AREA # 070103,Kawa,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),901,1404,2305
" Employee (Private, Org)",19430,10367,29797
 Employer,5293,1423,6716
 Own account worker,18511,5780,24291
 Contributing family worker,4571,6895,11466
 Sought work,2687,2261,4948
 Did not seek work,314,235,549
 Full time student,12237,11705,23942
 Household work,715,35317,36032
" Pensioner, retired, elderly person",2628,4528,7156
" Ill, disabled",617,599,1216
 Other,4008,2030,6038
 Total,71912,82544,154456
NotApp :,42907,*,*
AREA # 070104,Waw,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1061,1172,2233
" Employee (Private, Org)",16885,11760,28645
 Employer,3433,955,4388
 Own account worker,16801,7137,23938
 Contributing family worker,4445,5089,9534
 Sought work,2586,1851,4437
 Did not seek work,300,171,471
 Full time student,10297,10445,20742
 Household work,755,27996,28751
" Pensioner, retired, elderly person",2609,4175,6784
" Ill, disabled",705,589,1294
 Other,3751,1759,5510
 Total,63628,73099,136727
NotApp :,39287,*,*
AREA # 070105,Nyaunglebin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1695,2043,3738
" Employee (Private, Org)",18342,9832,28174
 Employer,3990,1010,5000
 Own account worker,22217,9652,31869
 Contributing family worker,4620,3883,8503
 Sought work,3078,2463,5541
 Did not seek work,323,207,530
 Full time student,11326,11689,23015
 Household work,1176,36538,37714
" Pensioner, retired, elderly person",4048,6043,10091
" Ill, disabled",853,772,1625
 Other,3097,1926,5023
 Total,74765,86058,160823
NotApp :,38660,*,*
AREA # 070106,Kyauktaga,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1623,2070,3693
" Employee (Private, Org)",25329,12696,38025
 Employer,5125,1030,6155
 Own account worker,23527,7978,31505
 Contributing family worker,8456,8635,17091
 Sought work,3551,2477,6028
 Did not seek work,444,242,686
 Full time student,14784,14944,29728
 Household work,1688,45935,47623
" Pensioner, retired, elderly person",4171,6289,10460
" Ill, disabled",730,665,1395
 Other,3235,1573,4808
 Total,92663,104534,197197
NotApp :,54015,*,*
AREA # 070107,Daik U,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1645,1803,3448
" Employee (Private, Org)",24329,15534,39863
 Employer,4720,1299,6019
 Own account worker,19230,10373,29603
 Contributing family worker,5063,4867,9930
 Sought work,2073,1491,3564
 Did not seek work,306,154,460
 Full time student,10917,11032,21949
 Household work,830,32932,33762
" Pensioner, retired, elderly person",3370,5027,8397
" Ill, disabled",756,670,1426
 Other,2508,543,3051
 Total,75747,85725,161472
NotApp :,41058,*,*
AREA # 070108,Shwegyin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1770,922,2692
" Employee (Private, Org)",8486,3884,12370
 Employer,1027,310,1337
 Own account worker,13579,5905,19484
 Contributing family worker,2638,1977,4615
 Sought work,1682,1049,2731
 Did not seek work,248,127,375
 Full time student,6022,6403,12425
 Household work,664,17719,18383
" Pensioner, retired, elderly person",1605,2316,3921
" Ill, disabled",342,339,681
 Other,2392,1121,3513
 Total,40455,42072,82527
NotApp :,24935,*,*
AREA # 070201,Toungoo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8037,3949,11986
" Employee (Private, Org)",25692,13832,39524
 Employer,3265,1145,4410
 Own account worker,23849,14354,38203
 Contributing family worker,5526,5070,10596
 Sought work,2804,1797,4601
 Did not seek work,483,227,710
 Full time student,16255,16612,32867
 Household work,1811,44569,46380
" Pensioner, retired, elderly person",5787,7552,13339
" Ill, disabled",866,732,1598
 Other,7131,3785,10916
 Total,101506,113624,215130
NotApp :,46926,*,*
AREA # 070202,Yaedashe,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4742,2958,7700
" Employee (Private, Org)",17515,10369,27884
 Employer,3256,1006,4262
 Own account worker,25509,11670,37179
 Contributing family worker,6699,8056,14755
 Sought work,1849,1312,3161
 Did not seek work,289,207,496
 Full time student,10803,11203,22006
 Household work,830,33460,34290
" Pensioner, retired, elderly person",3393,5082,8475
" Ill, disabled",724,694,1418
 Other,5732,3200,8932
 Total,81341,89217,170558
NotApp :,43035,*,*
AREA # 070203,Kyaukkyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1542,888,2430
" Employee (Private, Org)",8306,4921,13227
 Employer,1384,418,1802
 Own account worker,11829,4691,16520
 Contributing family worker,4105,3652,7757
 Sought work,1735,1051,2786
 Did not seek work,207,114,321
 Full time student,6567,7311,13878
 Household work,612,18140,18752
" Pensioner, retired, elderly person",2251,3229,5480
" Ill, disabled",500,487,987
 Other,1676,955,2631
 Total,40714,45857,86571
NotApp :,26758,*,*
AREA # 070204,Pyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2481,2491,4972
" Employee (Private, Org)",21423,12915,34338
 Employer,5469,1434,6903
 Own account worker,24443,9341,33784
 Contributing family worker,8402,10998,19400
 Sought work,2479,1724,4203
 Did not seek work,452,367,819
 Full time student,15232,15222,30454
 Household work,1253,42475,43728
" Pensioner, retired, elderly person",4904,7157,12061
" Ill, disabled",923,926,1849
 Other,7000,4977,11977
 Total,94461,110027,204488
NotApp :,52785,*,*
AREA # 070205,Oatwin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2173,1466,3639
" Employee (Private, Org)",16401,11804,28205
 Employer,4426,1415,5841
 Own account worker,14108,7858,21966
 Contributing family worker,4543,6888,11431
 Sought work,1717,1161,2878
 Did not seek work,243,131,374
 Full time student,7769,8028,15797
 Household work,799,23149,23948
" Pensioner, retired, elderly person",2485,3559,6044
" Ill, disabled",610,589,1199
 Other,3791,2317,6108
 Total,59065,68365,127430
NotApp :,32398,*,*
AREA # 070206,Htantapin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),828,1001,1829
" Employee (Private, Org)",12682,7656,20338
 Employer,3895,894,4789
 Own account worker,9016,3439,12455
 Contributing family worker,3368,5790,9158
 Sought work,1367,907,2274
 Did not seek work,144,63,207
 Full time student,6672,7194,13866
 Household work,443,18196,18639
" Pensioner, retired, elderly person",1883,2845,4728
" Ill, disabled",363,332,695
 Other,2196,1465,3661
 Total,42857,49782,92639
NotApp :,24637,*,*
AREA # 070301,Pyay,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),5876,4887,10763
" Employee (Private, Org)",25193,12796,37989
 Employer,3360,1301,4661
 Own account worker,29402,14948,44350
 Contributing family worker,5790,6651,12441
 Sought work,2739,2014,4753
 Did not seek work,552,366,918
 Full time student,13468,14238,27706
 Household work,1262,44909,46171
" Pensioner, retired, elderly person",6626,8390,15016
" Ill, disabled",773,662,1435
 Other,7993,4658,12651
 Total,103034,115820,218854
NotApp :,32789,*,*
AREA # 070302,Paukkhaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1430,1150,2580
" Employee (Private, Org)",8530,4377,12907
 Employer,1691,388,2079
 Own account worker,21350,5214,26564
 Contributing family worker,7050,8403,15453
 Sought work,902,837,1739
 Did not seek work,170,114,284
 Full time student,4426,4853,9279
 Household work,648,24003,24651
" Pensioner, retired, elderly person",2791,3665,6456
" Ill, disabled",300,261,561
 Other,2153,1187,3340
 Total,51441,54452,105893
NotApp :,18963,*,*
AREA # 070303,Padaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),8379,4811,13190
" Employee (Private, Org)",8092,3690,11782
 Employer,1166,451,1617
 Own account worker,19404,8633,28037
 Contributing family worker,3814,7377,11191
 Sought work,1270,1232,2502
 Did not seek work,139,141,280
 Full time student,6529,6898,13427
 Household work,702,23511,24213
" Pensioner, retired, elderly person",4254,4786,9040
" Ill, disabled",452,422,874
 Other,4379,2550,6929
 Total,58580,64502,123082
NotApp :,21132,*,*
AREA # 070304,Paunde,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1285,1095,2380
" Employee (Private, Org)",13265,7426,20691
 Employer,2521,808,3329
 Own account worker,19461,6618,26079
 Contributing family worker,5383,7046,12429
 Sought work,1184,972,2156
 Did not seek work,171,91,262
 Full time student,4921,4920,9841
 Household work,568,25554,26122
" Pensioner, retired, elderly person",3443,4760,8203
" Ill, disabled",431,418,849
 Other,4023,2435,6458
 Total,56656,62143,118799
NotApp :,18762,*,*
AREA # 070305,Thegon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2190,1370,3560
" Employee (Private, Org)",9401,5682,15083
 Employer,2090,784,2874
 Own account worker,20305,8561,28866
 Contributing family worker,4375,8544,12919
 Sought work,874,812,1686
 Did not seek work,102,56,158
 Full time student,4924,5043,9967
 Household work,590,22352,22942
" Pensioner, retired, elderly person",3227,4384,7611
" Ill, disabled",371,360,731
 Other,5015,3171,8186
 Total,53464,61119,114583
NotApp :,16374,*,*
AREA # 070306,Shwedaung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2715,2404,5119
" Employee (Private, Org)",10816,6724,17540
 Employer,2964,857,3821
 Own account worker,14420,7386,21806
 Contributing family worker,3428,5375,8803
 Sought work,1228,1056,2284
 Did not seek work,135,97,232
 Full time student,4893,5122,10015
 Household work,584,21219,21803
" Pensioner, retired, elderly person",3172,3967,7139
" Ill, disabled",414,446,860
 Other,3524,2232,5756
 Total,48293,56885,105178
NotApp :,16493,*,*
AREA # 070401,Tharyarwaddy,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2055,1904,3959
" Employee (Private, Org)",16780,6081,22861
 Employer,5146,808,5954
 Own account worker,13964,5136,19100
 Contributing family worker,4160,3579,7739
 Sought work,2676,1740,4416
 Did not seek work,290,154,444
 Full time student,6735,7059,13794
 Household work,807,31745,32552
" Pensioner, retired, elderly person",3150,4666,7816
" Ill, disabled",546,442,988
 Other,2477,1167,3644
 Total,58786,64481,123267
NotApp :,27837,*,*
AREA # 070402,Letpadan,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1471,1505,2976
" Employee (Private, Org)",17728,7335,25063
 Employer,7872,1921,9793
 Own account worker,13661,5520,19181
 Contributing family worker,4220,4416,8636
 Sought work,3150,1665,4815
 Did not seek work,321,226,547
 Full time student,9148,9055,18203
 Household work,1171,36158,37329
" Pensioner, retired, elderly person",3146,4814,7960
" Ill, disabled",487,507,994
 Other,5000,3144,8144
 Total,67375,76266,143641
NotApp :,33766,*,*
AREA # 070403,Minhla,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1266,1015,2281
" Employee (Private, Org)",14320,5676,19996
 Employer,4037,953,4990
 Own account worker,12008,3941,15949
 Contributing family worker,2989,2710,5699
 Sought work,1482,930,2412
 Did not seek work,189,87,276
 Full time student,5477,5299,10776
 Household work,664,27527,28191
" Pensioner, retired, elderly person",2446,3881,6327
" Ill, disabled",378,363,741
 Other,2716,1183,3899
 Total,47972,53565,101537
NotApp :,20954,*,*
AREA # 070404,Okpo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1057,1180,2237
" Employee (Private, Org)",14680,4268,18948
 Employer,3181,579,3760
 Own account worker,13741,4038,17779
 Contributing family worker,3470,1988,5458
 Sought work,2204,1630,3834
 Did not seek work,248,214,462
 Full time student,5643,5722,11365
 Household work,572,30599,31171
" Pensioner, retired, elderly person",2809,4160,6969
" Ill, disabled",406,363,769
 Other,2100,1000,3100
 Total,50111,55741,105852
NotApp :,20810,*,*
AREA # 070405,Zigon,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),751,826,1577
" Employee (Private, Org)",6963,1953,8916
 Employer,2130,273,2403
 Own account worker,7713,1892,9605
 Contributing family worker,1018,1118,2136
 Sought work,1465,883,2348
 Did not seek work,175,78,253
 Full time student,2510,2619,5129
 Household work,370,17634,18004
" Pensioner, retired, elderly person",1755,2142,3897
" Ill, disabled",217,192,409
 Other,2142,922,3064
 Total,27209,30532,57741
NotApp :,9782,*,*
AREA # 070406,Nattalin,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1289,1444,2733
" Employee (Private, Org)",14046,4430,18476
 Employer,8117,1421,9538
 Own account worker,18477,4466,22943
 Contributing family worker,3580,5086,8666
 Sought work,5072,3048,8120
 Did not seek work,386,159,545
 Full time student,6139,6235,12374
 Household work,1402,42395,43797
" Pensioner, retired, elderly person",4194,5628,9822
" Ill, disabled",476,396,872
 Other,6566,3286,9852
 Total,69744,77994,147738
NotApp :,24403,*,*
AREA # 070407,Monyo,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),924,929,1853
" Employee (Private, Org)",10891,6277,17168
 Employer,4978,1573,6551
 Own account worker,14560,6407,20967
 Contributing family worker,4462,7312,11774
 Sought work,2492,1620,4112
 Did not seek work,142,98,240
 Full time student,5858,5925,11783
 Household work,410,20764,21174
" Pensioner, retired, elderly person",2699,3888,6587
" Ill, disabled",369,353,722
 Other,1941,1080,3021
 Total,49726,56226,105952
NotApp :,21618,*,*
AREA # 070408,Gyobingauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1321,1194,2515
" Employee (Private, Org)",11152,2916,14068
 Employer,5222,919,6141
 Own account worker,10907,2926,13833
 Contributing family worker,2649,2682,5331
 Sought work,3822,2282,6104
 Did not seek work,125,77,202
 Full time student,4622,4815,9437
 Household work,550,29529,30079
" Pensioner, retired, elderly person",2599,3847,6446
" Ill, disabled",339,314,653
 Other,3981,2067,6048
 Total,47289,53568,100857
NotApp :,16576,*,*
AREA # 080101,Magway,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),6924,5678,12602
" Employee (Private, Org)",30545,20138,50683
 Employer,5399,2374,7773
 Own account worker,26242,14740,40982
 Contributing family worker,7895,12637,20532
 Sought work,2064,1712,3776
 Did not seek work,377,241,618
 Full time student,16232,16834,33066
 Household work,1322,42172,43494
" Pensioner, retired, elderly person",6424,8825,15249
" Ill, disabled",913,831,1744
 Other,6173,3936,10109
 Total,110510,130118,240628
NotApp :,48619,*,*
AREA # 080102,Yenangyoung,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),2330,1732,4062
" Employee (Private, Org)",9632,6661,16293
 Employer,2264,1047,3311
 Own account worker,12491,7434,19925
 Contributing family worker,4308,6430,10738
 Sought work,1480,1310,2790
 Did not seek work,238,128,366
 Full time student,8768,8829,17597
 Household work,712,22173,22885
" Pensioner, retired, elderly person",3805,5357,9162
" Ill, disabled",576,563,1139
 Other,1961,759,2720
 Total,48565,62423,110988
NotApp :,23239,*,*
AREA # 080103,Chauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3582,2673,6255
" Employee (Private, Org)",13183,8841,22024
 Employer,2364,1017,3381
 Own account worker,17687,10765,28452
 Contributing family worker,4380,7436,11816
 Sought work,2261,1903,4164
 Did not seek work,238,125,363
 Full time student,11663,11522,23185
 Household work,1217,32490,33707
" Pensioner, retired, elderly person",5072,6481,11553
" Ill, disabled",576,549,1125
 Other,4585,3378,7963
 Total,66808,87180,153988
NotApp :,31201,*,*
AREA # 080104,Taungdwingyi,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),3729,2736,6465
" Employee (Private, Org)",13055,8317,21372
 Employer,4062,1610,5672
 Own account worker,37455,16944,54399
 Contributing family worker,13289,25978,39267
 Sought work,1959,1618,3577
 Did not seek work,326,160,486
 Full time student,14366,14283,28649
 Household work,1654,32297,33951
" Pensioner, retired, elderly person",5255,7822,13077
" Ill, disabled",715,761,1476
 Other,3737,2146,5883
 Total,99602,114672,214274
NotApp :,45586,*,*
AREA # 080105,Myothit,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1440,1227,2667
" Employee (Private, Org)",7526,6661,14187
 Employer,9299,3214,12513
 Own account worker,16299,7991,24290
 Contributing family worker,7979,15355,23334
 Sought work,1012,838,1850
 Did not seek work,79,64,143
 Full time student,9132,8785,17917
 Household work,780,19884,20664
" Pensioner, retired, elderly person",2655,4413,7068
" Ill, disabled",444,534,978
 Other,1302,478,1780
 Total,57947,69444,127391
NotApp :,32120,*,*
AREA # 080106,Natmauk,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1727,1085,2812
" Employee (Private, Org)",7399,6872,14271
 Employer,12501,6366,18867
 Own account worker,20806,16428,37234
 Contributing family worker,10120,25312,35432
 Sought work,1343,1192,2535
 Did not seek work,140,65,205
 Full time student,11394,11796,23190
 Household work,816,18143,18959
" Pensioner, retired, elderly person",3811,6070,9881
" Ill, disabled",669,725,1394
 Other,2389,759,3148
 Total,73115,94813,167928
NotApp :,39068,*,*
AREA # 080201,Minbu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),4999,2544,7543
" Employee (Private, Org)",17563,12259,29822
 Employer,2369,952,3321
 Own account worker,20831,13253,34084
 Contributing family worker,5466,9276,14742
 Sought work,1890,1536,3426
 Did not seek work,250,123,373
 Full time student,10023,10583,20606
 Household work,890,25911,26801
" Pensioner, retired, elderly person",4306,5899,10205
" Ill, disabled",544,574,1118
 Other,3264,1468,4732
 Total,72395,84378,156773
NotApp :,31409,*,*
AREA # 080202,Pwint Phyu,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1897,2291,4188
" Employee (Private, Org)",18577,16420,34997
 Employer,4819,2122,6941
 Own account worker,19038,12582,31620
 Contributing family worker,4881,13157,18038
 Sought work,290,328,618
 Did not seek work,41,13,54
 Full time student,7762,8052,15814
 Household work,673,13219,13892
" Pensioner, retired, elderly person",2388,3550,5938
" Ill, disabled",486,485,971
 Other,1452,468,1920
 Total,62304,72687,134991
NotApp :,28701,*,*
AREA # 080203,Ngape,*,*
Activity status,Sex,*,*
*,Male,Female,Total
 Employee (Government),1331,896,2227
" Employee (Private, Org)",1967,972,2939
 Employer,312,103,415
 Own account worker,9190,4095,13285
