Death_sex,Death_age_Under_1,Death_age_1,Death_age_2,Death_age_3,Death_age_4,Death_age_5,Death_age_6,Death_age_7,Death_age_8,Death_age_9,Death_age_10,Death_age_11,Death_age_12,Death_age_13,Death_age_14,Death_age_15,Death_age_16,Death_age_17,Death_age_18,Death_age_19,Death_age_20,Death_age_21,Death_age_22,Death_age_23,Death_age_24,Death_age_25,Death_age_26,Death_age_27,Death_age_28,Death_age_29,Death_age_30,Death_age_31,Death_age_32,Death_age_33,Death_age_34,Death_age_35,Death_age_36,Death_age_37,Death_age_38,Death_age_39,Death_age_40,Death_age_41,Death_age_42,Death_age_43,Death_age_44,Death_age_45,Death_age_46,Death_age_47,Death_age_48,Death_age_49,Death_age_50,Death_age_51,Death_age_52,Death_age_53,Death_age_54,Death_age_55,Death_age_56,Death_age_57,Death_age_58,Death_age_59,Death_age_60,Death_age_61,Death_age_62,Death_age_63,Death_age_64,Death_age_65,Death_age_66,Death_age_67,Death_age_68,Death_age_69,Death_age_70,Death_age_71,Death_age_72,Death_age_73,Death_age_74,Death_age_75,Death_age_76,Death_age_77,Death_age_78,Death_age_79,Death_age_80,Death_age_81,Death_age_82,Death_age_83,Death_age_84,Death_age_85,Death_age_86,Death_age_87,Death_age_88,Death_age_89,Death_age_90_and_above,Death_age_Total
 Male,12,6,1,2,1,-,2,1,-,-,-,1,-,-,1,-,-,-,4,-,5,-,2,1,2,2,1,1,-,-,5,1,4,3,-,2,3,1,7,1,6,1,4,4,3,5,1,3,6,2,2,5,7,9,4,3,5,1,5,6,3,6,4,6,8,6,9,3,2,3,5,3,3,3,2,6,5,5,4,3,4,2,5,2,2,-,-,2,1,3,5,269
 Female,7,-,1,2,1,-,1,-,1,-,-,-,-,1,-,-,1,-,-,-,1,1,4,1,2,1,2,1,-,1,1,-,-,5,1,-,4,2,1,1,1,1,3,2,1,4,4,3,3,2,-,6,2,3,-,1,4,3,6,1,2,2,1,4,1,3,7,2,4,5,1,2,3,1,8,5,5,7,8,1,9,2,3,3,6,2,3,1,3,1,12,211
 Total,19,6,2,4,2,-,3,1,1,-,-,1,-,1,1,-,1,-,4,-,6,1,6,2,4,3,3,2,-,1,6,1,4,8,1,2,7,3,8,2,7,2,7,6,4,9,5,6,9,4,2,11,9,12,4,4,9,4,11,7,5,8,5,10,9,9,16,5,6,8,6,5,6,4,10,11,10,12,12,4,13,4,8,5,8,2,3,3,4,4,17,480
AREA # 050404,Banmauk,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,57,6,6,1,4,3,2,3,3,1,-,3,-,1,2,-,2,1,3,4,1,3,1,3,2,2,2,2,7,5,7,4,4,1,3,6,7,3,5,4,4,3,4,2,8,4,3,3,1,4,1,2,2,8,3,4,4,3,2,5,7,4,4,8,5,-,4,4,1,2,5,3,4,4,1,6,10,6,-,4,1,2,1,2,2,3,-,1,2,2,1,343
 Female,38,6,4,1,3,3,1,-,2,-,-,2,1,-,2,2,2,1,1,1,2,1,2,-,1,1,4,-,1,-,-,-,3,-,2,2,1,1,-,2,3,4,2,1,3,-,3,-,2,1,2,2,2,2,2,2,3,3,3,3,9,3,2,4,3,2,5,3,2,4,2,5,3,5,9,9,5,2,8,3,3,5,4,3,2,2,3,-,1,2,5,254
 Total,95,12,10,2,7,6,3,3,5,1,-,5,1,1,4,2,4,2,4,5,3,4,3,3,3,3,6,2,8,5,7,4,7,1,5,8,8,4,5,6,7,7,6,3,11,4,6,3,3,5,3,4,4,10,5,6,7,6,5,8,16,7,6,12,8,2,9,7,3,6,7,8,7,9,10,15,15,8,8,7,4,7,5,5,4,5,3,1,3,4,6,597
AREA # 050405,Kawlin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,14,-,-,-,-,1,1,-,-,-,1,-,1,-,1,3,-,2,2,2,-,3,2,2,2,2,1,2,3,1,3,6,2,1,1,5,2,2,4,6,3,4,3,2,3,5,5,3,5,2,2,4,3,3,10,9,8,5,5,6,6,2,3,4,8,10,7,8,4,2,6,6,4,3,9,9,13,9,10,5,3,7,3,10,5,7,8,6,2,3,12,362
 Female,11,3,1,3,-,1,3,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,2,-,1,1,2,1,1,-,1,-,1,1,-,3,-,1,-,1,2,4,2,1,3,3,2,2,3,2,1,2,3,6,1,6,3,5,2,3,-,1,1,7,4,2,7,4,3,6,-,3,8,7,8,5,5,10,6,3,6,10,8,10,11,5,8,4,3,16,269
 Total,25,3,1,3,-,2,4,-,1,-,1,-,2,-,2,4,-,2,2,2,-,3,2,4,2,3,2,4,4,2,3,7,2,2,2,5,5,2,5,6,4,6,7,4,4,8,8,5,7,5,4,5,5,6,16,10,14,8,10,8,9,2,4,5,15,14,9,15,8,5,12,6,7,11,16,17,18,14,20,11,6,13,13,18,15,18,13,14,6,6,28,631
AREA # 050406,Wuntho,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,11,2,-,-,-,-,-,3,-,2,-,-,1,1,-,-,1,1,5,-,-,4,2,1,-,3,-,2,2,4,2,2,-,2,-,1,3,4,1,7,3,2,2,1,5,2,4,3,5,3,4,2,3,5,3,4,5,3,-,2,3,3,1,4,3,1,7,3,2,1,2,5,2,8,3,6,2,5,1,2,3,4,3,1,3,2,1,2,-,1,3,215
 Female,11,3,1,1,-,-,-,-,-,1,-,1,1,1,1,1,1,-,1,-,-,1,2,-,3,-,-,1,-,-,3,1,-,1,1,1,-,-,-,1,1,1,-,2,2,1,3,2,2,-,3,-,3,1,-,1,2,3,-,5,2,1,3,1,2,4,-,2,3,1,3,3,3,4,4,4,2,6,5,1,3,2,1,2,7,2,3,2,1,1,10,159
 Total,22,5,1,1,-,-,-,3,-,3,-,1,2,2,1,1,2,1,6,-,-,5,4,1,3,3,-,3,2,4,5,3,-,3,1,2,3,4,1,8,4,3,2,3,7,3,7,5,7,3,7,2,6,6,3,5,7,6,-,7,5,4,4,5,5,5,7,5,5,2,5,8,5,12,7,10,4,11,6,3,6,6,4,3,10,4,4,4,1,2,13,374
AREA # 050407,Pinlebu,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,43,4,5,5,-,1,1,1,1,1,1,2,-,1,-,-,2,2,2,1,3,2,3,1,4,4,8,3,4,3,7,-,5,3,4,10,8,5,7,6,6,8,4,5,3,8,6,5,5,7,6,2,9,1,5,3,8,2,1,7,3,7,9,7,4,6,4,5,3,5,4,2,7,7,7,9,7,7,3,6,7,2,2,4,4,5,1,1,4,2,4,412
 Female,25,3,3,4,1,2,1,1,1,-,1,1,-,-,1,1,-,-,2,3,2,-,2,-,1,-,-,-,1,1,-,-,-,2,-,-,1,1,1,1,2,-,3,1,3,2,-,2,2,5,-,4,4,2,3,5,6,2,3,2,1,5,5,8,5,6,2,3,4,2,2,5,8,3,2,6,12,9,2,6,5,10,2,7,4,3,6,1,2,2,7,259
 Total,68,7,8,9,1,3,2,2,2,1,2,3,-,1,1,1,2,2,4,4,5,2,5,1,5,4,8,3,5,4,7,-,5,5,4,10,9,6,8,7,8,8,7,6,6,10,6,7,7,12,6,6,13,3,8,8,14,4,4,9,4,12,14,15,9,12,6,8,7,7,6,7,15,10,9,15,19,16,5,12,12,12,4,11,8,8,7,2,6,4,11,671
AREA # 050501,Kalay,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,58,10,9,1,2,3,1,1,2,3,1,4,4,3,3,2,2,-,10,4,6,6,8,5,3,3,8,12,9,9,6,11,6,15,5,11,15,15,15,15,17,10,11,19,12,22,11,7,17,11,15,8,15,10,15,6,16,13,14,11,24,4,11,12,6,15,14,14,13,12,15,7,15,22,14,10,18,8,8,7,11,7,8,10,15,7,6,5,4,4,12,904
 Female,43,10,2,4,1,2,2,1,4,1,4,-,-,2,2,1,4,1,3,3,3,1,1,1,-,3,4,2,11,4,3,4,3,2,3,10,4,7,4,8,-,7,6,2,6,14,6,5,14,7,4,7,9,10,6,8,11,8,8,8,9,4,5,12,9,17,3,6,6,7,11,11,8,14,6,16,16,8,17,7,10,10,8,7,7,13,11,7,5,2,17,603
 Total,101,20,11,5,3,5,3,2,6,4,5,4,4,5,5,3,6,1,13,7,9,7,9,6,3,6,12,14,20,13,9,15,9,17,8,21,19,22,19,23,17,17,17,21,18,36,17,12,31,18,19,15,24,20,21,14,27,21,22,19,33,8,16,24,15,32,17,20,19,19,26,18,23,36,20,26,34,16,25,14,21,17,16,17,22,20,17,12,9,6,29,1507
AREA # 050502,Kalewa,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,17,-,-,1,1,-,-,-,-,-,-,-,1,-,2,-,-,1,7,1,-,1,2,1,-,1,-,1,1,-,2,3,2,4,2,4,2,-,1,1,-,2,2,2,4,1,4,1,1,4,-,3,-,4,6,1,7,2,1,4,1,2,2,2,2,2,2,7,4,1,4,2,3,2,3,1,2,2,3,1,5,2,-,3,2,-,1,6,1,1,1,178
 Female,16,2,2,-,-,-,-,1,-,-,-,1,-,-,1,-,-,2,2,1,-,-,-,-,-,1,-,-,-,-,2,-,1,2,2,-,-,1,-,2,1,-,2,-,-,-,1,1,-,1,3,1,1,-,1,1,3,-,1,3,1,2,3,-,1,-,6,2,1,1,2,3,-,3,2,1,5,2,3,1,3,1,3,7,5,1,2,3,2,-,2,127
 Total,33,2,2,1,1,-,-,1,-,-,-,1,1,-,3,-,-,3,9,2,-,1,2,1,-,2,-,1,1,-,4,3,3,6,4,4,2,1,1,3,1,2,4,2,4,1,5,2,1,5,3,4,1,4,7,2,10,2,2,7,2,4,5,2,3,2,8,9,5,2,6,5,3,5,5,2,7,4,6,2,8,3,3,10,7,1,3,9,3,1,3,305
AREA # 050503,Mingin,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,27,1,1,1,-,-,1,2,3,-,-,2,-,-,-,2,1,1,1,-,3,2,3,3,2,1,3,1,2,1,2,1,1,6,1,1,3,5,3,3,5,4,6,3,5,7,2,4,2,-,6,5,2,5,3,6,1,-,1,7,5,5,4,3,4,3,4,3,2,4,3,1,8,5,5,6,3,6,7,3,13,5,2,6,3,3,4,6,2,1,6,299
 Female,16,2,-,-,1,4,1,1,-,2,-,-,-,1,1,2,-,-,-,1,-,-,1,-,-,1,-,1,2,-,1,-,-,-,1,3,4,1,2,-,-,1,-,-,2,6,-,-,1,1,1,-,3,1,2,4,-,2,2,2,5,4,1,2,3,5,8,2,2,-,5,3,4,2,5,9,3,4,3,3,7,3,4,5,3,1,3,4,4,-,6,190
 Total,43,3,1,1,1,4,2,3,3,2,-,2,-,1,1,4,1,1,1,1,3,2,4,3,2,2,3,2,4,1,3,1,1,6,2,4,7,6,5,3,5,5,6,3,7,13,2,4,3,1,7,5,5,6,5,10,1,2,3,9,10,9,5,5,7,8,12,5,4,4,8,4,12,7,10,15,6,10,10,6,20,8,6,11,6,4,7,10,6,1,12,489
AREA # 050601,Tamu,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,10,-,2,2,-,-,1,-,-,-,-,-,-,2,-,-,-,2,-,-,1,2,1,1,-,-,2,2,2,1,2,3,1,1,3,3,1,1,4,2,2,3,1,2,4,4,1,2,6,1,4,1,3,4,2,1,4,1,1,2,2,1,1,6,2,3,4,-,2,1,5,1,1,4,1,1,1,2,3,2,1,2,-,4,-,-,2,-,-,-,-,153
 Female,11,1,2,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,1,-,3,-,1,1,-,-,1,-,-,1,-,1,2,-,2,2,-,1,2,2,-,-,-,1,3,-,1,1,2,1,1,-,2,1,-,2,1,1,-,6,1,2,1,1,2,2,1,3,2,4,4,3,2,1,-,2,2,2,3,1,-,-,1,102
 Total,21,1,4,2,1,1,1,-,1,-,-,-,-,2,-,-,-,2,-,-,1,2,1,2,1,-,3,2,5,1,3,4,1,1,4,3,1,2,4,3,4,3,3,4,4,5,3,4,6,1,4,2,6,4,3,2,6,2,2,2,4,2,1,8,3,4,4,6,3,3,6,2,3,6,2,4,3,6,7,5,3,3,-,6,2,2,5,1,-,-,1,255
AREA # 050651,Myothit(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,5,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,2,1,1,-,-,-,-,2,2,-,-,-,-,-,-,-,-,2,1,-,3,-,-,-,-,-,2,2,-,1,-,1,-,-,-,-,1,-,3,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,35
 Female,3,1,-,2,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,1,-,-,2,-,-,1,-,2,-,-,-,-,2,-,1,-,-,1,1,-,-,-,-,-,-,29
 Total,8,1,1,2,2,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,1,-,-,-,2,1,1,-,-,1,-,5,2,1,-,-,-,-,-,-,-,2,1,-,4,-,-,-,-,1,3,2,1,1,-,3,-,-,1,-,3,-,3,-,-,2,-,1,1,-,1,1,-,-,-,-,-,-,64
AREA # 050652,Khampat(ST),*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,10,1,1,-,-,-,1,2,-,-,-,-,1,1,1,-,-,-,-,1,1,-,-,1,1,1,-,1,-,-,1,-,1,2,-,2,-,-,-,1,2,-,1,1,-,1,-,3,1,-,1,2,-,2,1,-,1,2,1,2,2,1,2,2,1,2,2,1,1,1,3,-,2,4,1,1,-,2,1,-,-,1,-,-,1,1,1,-,1,-,1,87
 Female,8,2,-,-,3,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,1,1,-,-,-,3,1,1,-,-,1,1,1,1,-,-,1,1,-,1,-,-,1,1,-,2,1,1,1,-,2,3,1,-,-,-,-,-,3,-,-,1,-,1,-,1,1,-,3,3,-,2,1,2,-,-,1,-,1,-,-,1,-,-,1,3,68
 Total,18,3,1,-,3,-,1,2,-,-,-,1,1,1,1,-,1,-,-,1,1,-,-,1,2,2,1,1,-,-,4,1,2,2,-,3,1,1,1,1,2,1,2,1,1,1,-,4,2,-,3,3,1,3,1,2,4,3,1,2,2,1,2,5,1,2,3,1,2,1,4,1,2,7,4,1,2,3,3,-,-,2,-,1,1,1,2,-,1,1,4,155
AREA # 050701,Mawlaik,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
Death sex,Death age,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,Under 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90 and above,Total
 Male,10,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,1,1,1,3,-,1,1,-,-,-,-,1,3,2,2,1,-,1,1,1,2,2,1,-,2,2,1,-,3,-,2,2,2,1,-,4,1,-,2,3,4,2,1,6,3,1,2,8,3,1,7,3,-,1,1,-,1,-,-,1,2,1,-,1,2,3,120
 Female,6,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,1,-,-,1,-,-,3,-,-,1,1,-,5,-,-,1,1,-,-,-,1,-,1,1,1,2,1,-,4,1,-,-,-,1,1,1,1,1,-,1,1,2,2,5,3,1,4,4,1,2,3,2,1,1,3,1,-,2,1,1,3,86
 Total,16,2,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,3,-,-,1,-,2,1,1,3,-,2,1,-,1,-,-,4,3,2,3,2,-,6,1,1,3,3,1,-,2,3,1,1,4,1,4,3,2,5,1,4,1,-,3,4,5,3,2,6,4,2,4,10,8,4,8,7,4,2,3,3,3,1,1,4,3,1,2,2,3,6,206
