Identity_card,Sex_Male,Sex_Female,Sex_Total
 Religious card,457,9,466
 Temporary Registration Card (white),72,55,127
 Foreign Passport,7,16,23
 None,12279,17273,29552
 Child under 10 years,12553,12238,24791
 Total,62465,72076,134541
AREA # 060101,Dawei,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38482,45132,83614
 Associate Scrutiny Card (blue),61,42,103
 Naturalised Scrutiny Card (green),165,154,319
 National Registration Card (3-fold),245,334,579
 Religious card,661,157,818
 Temporary Registration Card (white),154,101,255
 Foreign Registration Card (FRC),53,46,99
 Foreign Passport,133,48,181
 None,9090,9024,18114
 Child under 10 years,11000,10523,21523
 Total,60044,65561,125605
AREA # 060102,Lounglon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28498,35656,64154
 Associate Scrutiny Card (blue),16,34,50
 Naturalised Scrutiny Card (green),68,54,122
 National Registration Card (3-fold),306,728,1034
 Religious card,502,22,524
 Temporary Registration Card (white),147,140,287
 Foreign Registration Card (FRC),2,3,5
 Foreign Passport,14,10,24
 None,12976,13625,26601
 Child under 10 years,13029,12487,25516
 Total,55558,62759,118317
AREA # 060103,Thayetchaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29626,34545,64171
 Associate Scrutiny Card (blue),20,20,40
 Naturalised Scrutiny Card (green),79,55,134
 National Registration Card (3-fold),487,870,1357
 Religious card,328,29,357
 Temporary Registration Card (white),109,102,211
 Foreign Registration Card (FRC),3,1,4
 Foreign Passport,26,8,34
 None,7942,8575,16517
 Child under 10 years,11801,11036,22837
 Total,50421,55241,105662
AREA # 060104,Yebyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),26568,26403,52971
 Associate Scrutiny Card (blue),64,32,96
 Naturalised Scrutiny Card (green),97,27,124
 National Registration Card (3-fold),711,1101,1812
 Religious card,304,17,321
 Temporary Registration Card (white),145,120,265
 Foreign Registration Card (FRC),6,2,8
 Foreign Passport,390,35,425
 None,11288,11599,22887
 Child under 10 years,11209,10650,21859
 Total,50782,49986,100768
AREA # 060151,Myitta(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5255,5624,10879
 Associate Scrutiny Card (blue),13,9,22
 Naturalised Scrutiny Card (green),25,24,49
 National Registration Card (3-fold),195,252,447
 Religious card,35,1,36
 Temporary Registration Card (white),30,27,57
 Foreign Registration Card (FRC),22,13,35
 Foreign Passport,19,6,25
 None,2240,2057,4297
 Child under 10 years,2775,2737,5512
 Total,10609,10750,21359
AREA # 060152,Kaleinaung(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6900,5951,12851
 Associate Scrutiny Card (blue),4,4,8
 Naturalised Scrutiny Card (green),16,11,27
 National Registration Card (3-fold),70,95,165
 Religious card,40,2,42
 Temporary Registration Card (white),12,6,18
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,-,1,1
 None,2143,1884,4027
 Child under 10 years,2472,2252,4724
 Total,11659,10206,21865
AREA # 060201,Myeik,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),73763,79355,153118
 Associate Scrutiny Card (blue),93,104,197
 Naturalised Scrutiny Card (green),675,386,1061
 National Registration Card (3-fold),3554,4351,7905
 Religious card,1129,203,1332
 Temporary Registration Card (white),377,394,771
 Foreign Registration Card (FRC),59,86,145
 Foreign Passport,126,31,157
 None,30524,31463,61987
 Child under 10 years,29292,28524,57816
 Total,139592,144897,284489
AREA # 060202,Kyunsu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38402,35159,73561
 Associate Scrutiny Card (blue),22,18,40
 Naturalised Scrutiny Card (green),105,39,144
 National Registration Card (3-fold),905,1093,1998
 Religious card,265,14,279
 Temporary Registration Card (white),115,90,205
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,36,11,47
 None,25646,25283,50929
 Child under 10 years,22279,22267,44546
 Total,87777,83976,171753
AREA # 060203,Palaw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),24064,27771,51835
 Associate Scrutiny Card (blue),7,11,18
 Naturalised Scrutiny Card (green),80,33,113
 National Registration Card (3-fold),231,416,647
 Religious card,277,25,302
 Temporary Registration Card (white),61,64,125
 Foreign Registration Card (FRC),2,4,6
 Foreign Passport,6,3,9
 None,9594,9067,18661
 Child under 10 years,11044,10678,21722
 Total,45366,48072,93438
AREA # 060204,Tanintharyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),26344,24934,51278
 Associate Scrutiny Card (blue),20,15,35
 Naturalised Scrutiny Card (green),129,36,165
 National Registration Card (3-fold),1024,1196,2220
 Religious card,224,21,245
 Temporary Registration Card (white),228,179,407
 Foreign Registration Card (FRC),20,9,29
 Foreign Passport,7,6,13
 None,13326,12841,26167
 Child under 10 years,13495,12799,26294
 Total,54817,52036,106853
AREA # 060251,Palauk(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),9135,9382,18517
 Associate Scrutiny Card (blue),2,1,3
 Naturalised Scrutiny Card (green),23,18,41
 National Registration Card (3-fold),169,290,459
 Religious card,80,5,85
 Temporary Registration Card (white),11,16,27
 Foreign Passport,-,2,2
 None,3844,4023,7867
 Child under 10 years,4855,4698,9553
 Total,18119,18435,36554
AREA # 060301,Kawthoung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),29072,28978,58050
 Associate Scrutiny Card (blue),27,28,55
 Naturalised Scrutiny Card (green),235,88,323
 National Registration Card (3-fold),2408,2948,5356
 Religious card,475,48,523
 Temporary Registration Card (white),213,153,366
 Foreign Registration Card (FRC),30,33,63
 Foreign Passport,145,81,226
 None,14288,12739,27027
 Child under 10 years,12614,12377,24991
 Total,59507,57473,116980
AREA # 060302,Bokepyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),10606,8486,19092
 Associate Scrutiny Card (blue),13,14,27
 Naturalised Scrutiny Card (green),113,37,150
 National Registration Card (3-fold),838,918,1756
 Religious card,96,4,100
 Temporary Registration Card (white),144,205,349
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,8,3,11
 None,7299,6324,13623
 Child under 10 years,5875,5837,11712
 Total,24992,21829,46821
AREA # 060351,Khamaukgyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),6601,4971,11572
 Associate Scrutiny Card (blue),6,9,15
 Naturalised Scrutiny Card (green),52,6,58
 National Registration Card (3-fold),249,223,472
 Religious card,46,-,46
 Temporary Registration Card (white),50,36,86
 Foreign Registration Card (FRC),2,-,2
 Foreign Passport,3,2,5
 None,3031,2477,5508
 Child under 10 years,2616,2660,5276
 Total,12656,10384,23040
AREA # 060352,Pyigyimandaing,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),4471,3807,8278
 Associate Scrutiny Card (blue),1,1,2
 Naturalised Scrutiny Card (green),17,7,24
 National Registration Card (3-fold),78,96,174
 Religious card,31,1,32
 Temporary Registration Card (white),13,15,28
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,13,1,14
 None,2035,1767,3802
 Child under 10 years,2138,2110,4248
 Total,8798,7806,16604
AREA # 060353,Karathuri(ST),*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),5237,4046,9283
 Associate Scrutiny Card (blue),4,7,11
 Naturalised Scrutiny Card (green),36,15,51
 National Registration Card (3-fold),102,118,220
 Religious card,37,-,37
 Temporary Registration Card (white),32,23,55
 Foreign Passport,4,4,8
 None,2273,1983,4256
 Child under 10 years,2197,2175,4372
 Total,9922,8371,18293
AREA # 070101,Bago,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),123576,139595,263171
 Associate Scrutiny Card (blue),119,164,283
 Naturalised Scrutiny Card (green),1146,1144,2290
 National Registration Card (3-fold),1696,2441,4137
 Religious card,4686,1064,5750
 Temporary Registration Card (white),719,983,1702
 Foreign Registration Card (FRC),40,59,99
 Foreign Passport,190,68,258
 None,58531,66366,124897
 Child under 10 years,44826,44021,88847
 Total,235529,255905,491434
AREA # 070102,Tanatpin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),30300,30489,60789
 Associate Scrutiny Card (blue),39,54,93
 Naturalised Scrutiny Card (green),745,866,1611
 National Registration Card (3-fold),228,344,572
 Religious card,493,14,507
 Temporary Registration Card (white),96,133,229
 Foreign Registration Card (FRC),6,11,17
 Foreign Passport,20,18,38
 None,20578,27717,48295
 Child under 10 years,16631,16505,33136
 Total,69136,76151,145287
AREA # 070103,Kawa,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47134,50557,97691
 Associate Scrutiny Card (blue),18,38,56
 Naturalised Scrutiny Card (green),792,981,1773
 National Registration Card (3-fold),346,587,933
 Religious card,531,7,538
 Temporary Registration Card (white),157,192,349
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,13,18,31
 None,22918,30161,53079
 Child under 10 years,21892,21015,42907
 Total,93804,103559,197363
AREA # 070104,Waw,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41349,45709,87058
 Associate Scrutiny Card (blue),49,53,102
 Naturalised Scrutiny Card (green),519,596,1115
 National Registration Card (3-fold),414,675,1089
 Religious card,564,34,598
 Temporary Registration Card (white),163,208,371
 Foreign Registration Card (FRC),3,3,6
 Foreign Passport,14,24,38
 None,20553,25797,46350
 Child under 10 years,20071,19216,39287
 Total,83699,92315,176014
AREA # 070105,Nyaunglebin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51038,57272,108310
 Associate Scrutiny Card (blue),46,52,98
 Naturalised Scrutiny Card (green),207,200,407
 National Registration Card (3-fold),269,414,683
 Religious card,794,75,869
 Temporary Registration Card (white),89,94,183
 Foreign Registration Card (FRC),18,11,29
 Foreign Passport,23,16,39
 None,22281,27924,50205
 Child under 10 years,19699,18961,38660
 Total,94464,105019,199483
AREA # 070106,Kyauktaga,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),52831,55985,108816
 Associate Scrutiny Card (blue),106,130,236
 Naturalised Scrutiny Card (green),6029,7341,13370
 National Registration Card (3-fold),392,445,837
 Religious card,679,29,708
 Temporary Registration Card (white),320,449,769
 Foreign Registration Card (FRC),18,16,34
 Foreign Passport,27,26,53
 None,32261,40113,72374
 Child under 10 years,27361,26654,54015
 Total,120024,131188,251212
AREA # 070107,Daik U,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),50741,53686,104427
 Associate Scrutiny Card (blue),73,54,127
 Naturalised Scrutiny Card (green),245,163,408
 National Registration Card (3-fold),426,670,1096
 Religious card,934,26,960
 Temporary Registration Card (white),170,260,430
 Foreign Registration Card (FRC),3,2,5
 Foreign Passport,17,15,32
 None,23138,30849,53987
 Child under 10 years,20615,20443,41058
 Total,96362,106168,202530
AREA # 070108,Shwegyin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),22704,22201,44905
 Associate Scrutiny Card (blue),9,17,26
 Naturalised Scrutiny Card (green),111,83,194
 National Registration Card (3-fold),494,581,1075
 Religious card,424,43,467
 Temporary Registration Card (white),200,340,540
 Foreign Registration Card (FRC),4,2,6
 Foreign Passport,7,6,13
 None,16502,18799,35301
 Child under 10 years,12637,12298,24935
 Total,53092,54370,107462
AREA # 070201,Toungoo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),72758,81563,154321
 Associate Scrutiny Card (blue),151,151,302
 Naturalised Scrutiny Card (green),902,946,1848
 National Registration Card (3-fold),1414,2321,3735
 Religious card,1366,187,1553
 Temporary Registration Card (white),498,782,1280
 Foreign Registration Card (FRC),39,45,84
 Foreign Passport,39,32,71
 None,24339,27597,51936
 Child under 10 years,23636,23290,46926
 Total,125142,136914,262056
AREA # 070202,Yaedashe,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54561,54197,108758
 Associate Scrutiny Card (blue),46,50,96
 Naturalised Scrutiny Card (green),256,171,427
 National Registration Card (3-fold),672,1086,1758
 Religious card,845,115,960
 Temporary Registration Card (white),296,533,829
 Foreign Registration Card (FRC),13,2,15
 Foreign Passport,41,32,73
 None,24611,33031,57642
 Child under 10 years,21957,21078,43035
 Total,103298,110295,213593
AREA # 070203,Kyaukkyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),23028,23662,46690
 Associate Scrutiny Card (blue),16,22,38
 Naturalised Scrutiny Card (green),251,226,477
 National Registration Card (3-fold),355,607,962
 Religious card,376,103,479
 Temporary Registration Card (white),226,292,518
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,26,31,57
 None,16436,20913,37349
 Child under 10 years,13573,13185,26758
 Total,54287,59042,113329
AREA # 070204,Pyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),59408,66859,126267
 Associate Scrutiny Card (blue),118,124,242
 Naturalised Scrutiny Card (green),4002,4662,8664
 National Registration Card (3-fold),1142,1380,2522
 Religious card,832,33,865
 Temporary Registration Card (white),709,872,1581
 Foreign Registration Card (FRC),16,12,28
 Foreign Passport,46,35,81
 None,28188,36050,64238
 Child under 10 years,26662,26123,52785
 Total,121123,136150,257273
AREA # 070205,Oatwin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41146,45404,86550
 Associate Scrutiny Card (blue),34,38,72
 Naturalised Scrutiny Card (green),508,596,1104
 National Registration Card (3-fold),412,566,978
 Religious card,567,50,617
 Temporary Registration Card (white),85,106,191
 Foreign Registration Card (FRC),1,1,2
 Foreign Passport,22,17,39
 None,16290,21587,37877
 Child under 10 years,16316,16082,32398
 Total,75381,84447,159828
AREA # 070206,Htantapin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),28401,30612,59013
 Associate Scrutiny Card (blue),23,26,49
 Naturalised Scrutiny Card (green),133,115,248
 National Registration Card (3-fold),199,263,462
 Religious card,356,20,376
 Temporary Registration Card (white),109,153,262
 Foreign Passport,19,13,32
 None,13617,18580,32197
 Child under 10 years,12476,12161,24637
 Total,55333,61943,117276
AREA # 070301,Pyay,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),76704,86289,162993
 Associate Scrutiny Card (blue),114,133,247
 Naturalised Scrutiny Card (green),511,351,862
 National Registration Card (3-fold),940,1589,2529
 Religious card,1998,812,2810
 Temporary Registration Card (white),793,1484,2277
 Foreign Registration Card (FRC),44,60,104
 Foreign Passport,67,25,92
 None,21863,25077,46940
 Child under 10 years,16636,16153,32789
 Total,119670,131973,251643
AREA # 070302,Paukkhaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36848,36504,73352
 Associate Scrutiny Card (blue),15,18,33
 Naturalised Scrutiny Card (green),130,107,237
 National Registration Card (3-fold),320,523,843
 Religious card,340,25,365
 Temporary Registration Card (white),606,1020,1626
 Foreign Registration Card (FRC),1,3,4
 Foreign Passport,9,16,25
 None,13172,16236,29408
 Child under 10 years,9500,9463,18963
 Total,60941,63915,124856
AREA # 070303,Padaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),46561,50960,97521
 Associate Scrutiny Card (blue),7,11,18
 Naturalised Scrutiny Card (green),133,93,226
 National Registration Card (3-fold),167,275,442
 Religious card,537,100,637
 Temporary Registration Card (white),98,124,222
 Foreign Passport,7,5,12
 None,11070,12934,24004
 Child under 10 years,10704,10428,21132
 Total,69284,74930,144214
AREA # 070304,Paunde,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41289,44984,86273
 Associate Scrutiny Card (blue),51,42,93
 Naturalised Scrutiny Card (green),111,94,205
 National Registration Card (3-fold),210,257,467
 Religious card,408,38,446
 Temporary Registration Card (white),202,320,522
 Foreign Registration Card (FRC),8,15,23
 Foreign Passport,8,6,14
 None,14369,16387,30756
 Child under 10 years,9556,9206,18762
 Total,66212,71349,137561
AREA # 070305,Thegon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),40822,46176,86998
 Associate Scrutiny Card (blue),7,17,24
 Naturalised Scrutiny Card (green),152,115,267
 National Registration Card (3-fold),333,525,858
 Religious card,498,51,549
 Temporary Registration Card (white),533,951,1484
 Foreign Registration Card (FRC),6,7,13
 Foreign Passport,10,8,18
 None,11103,13269,24372
 Child under 10 years,8343,8031,16374
 Total,61807,69150,130957
AREA # 070306,Shwedaung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),36102,41597,77699
 Associate Scrutiny Card (blue),7,13,20
 Naturalised Scrutiny Card (green),82,49,131
 National Registration Card (3-fold),293,504,797
 Religious card,536,130,666
 Temporary Registration Card (white),149,247,396
 Foreign Registration Card (FRC),-,1,1
 Foreign Passport,6,5,11
 None,11118,14339,25457
 Child under 10 years,8344,8149,16493
 Total,56637,65034,121671
AREA # 070401,Tharyarwaddy,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),38694,39587,78281
 Associate Scrutiny Card (blue),60,63,123
 Naturalised Scrutiny Card (green),310,292,602
 National Registration Card (3-fold),597,895,1492
 Religious card,505,41,546
 Temporary Registration Card (white),71,159,230
 Foreign Registration Card (FRC),22,39,61
 Foreign Passport,10,9,19
 None,18517,23396,41913
 Child under 10 years,13986,13851,27837
 Total,72772,78332,151104
AREA # 070402,Letpadan,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),41882,45363,87245
 Associate Scrutiny Card (blue),25,31,56
 Naturalised Scrutiny Card (green),185,171,356
 National Registration Card (3-fold),322,586,908
 Religious card,560,25,585
 Temporary Registration Card (white),315,498,813
 Foreign Registration Card (FRC),7,11,18
 Foreign Passport,10,10,20
 None,24069,29571,53640
 Child under 10 years,17021,16745,33766
 Total,84396,93011,177407
AREA # 070403,Minhla,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34610,37614,72224
 Associate Scrutiny Card (blue),41,44,85
 Naturalised Scrutiny Card (green),118,96,214
 National Registration Card (3-fold),156,213,369
 Religious card,437,80,517
 Temporary Registration Card (white),78,125,203
 Foreign Registration Card (FRC),20,23,43
 Foreign Passport,10,14,24
 None,12502,15356,27858
 Child under 10 years,10605,10349,20954
 Total,58577,63914,122491
AREA # 070404,Okpo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33980,36353,70333
 Associate Scrutiny Card (blue),84,99,183
 Naturalised Scrutiny Card (green),160,167,327
 National Registration Card (3-fold),258,376,634
 Religious card,391,52,443
 Temporary Registration Card (white),104,132,236
 Foreign Registration Card (FRC),2,4,6
 Foreign Passport,6,6,12
 None,15126,18552,33678
 Child under 10 years,10594,10216,20810
 Total,60705,65957,126662
AREA # 070405,Zigon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),19449,20952,40401
 Associate Scrutiny Card (blue),22,18,40
 Naturalised Scrutiny Card (green),74,49,123
 National Registration Card (3-fold),126,174,300
 Religious card,232,17,249
 Temporary Registration Card (white),55,72,127
 Foreign Registration Card (FRC),6,7,13
 Foreign Passport,8,6,14
 None,7237,9237,16474
 Child under 10 years,4958,4824,9782
 Total,32167,35356,67523
AREA # 070406,Nattalin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47212,49640,96852
 Associate Scrutiny Card (blue),26,31,57
 Naturalised Scrutiny Card (green),167,90,257
 National Registration Card (3-fold),537,749,1286
 Religious card,559,215,774
 Temporary Registration Card (white),158,244,402
 Foreign Registration Card (FRC),4,3,7
 Foreign Passport,12,27,39
 None,21069,26995,48064
 Child under 10 years,12339,12064,24403
 Total,82083,90058,172141
AREA # 070407,Monyo,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34033,32964,66997
 Associate Scrutiny Card (blue),15,22,37
 Naturalised Scrutiny Card (green),160,108,268
 National Registration Card (3-fold),387,543,930
 Religious card,319,8,327
 Temporary Registration Card (white),44,43,87
 Foreign Registration Card (FRC),16,11,27
 Foreign Passport,2,7,9
 None,14750,22520,37270
 Child under 10 years,10938,10680,21618
 Total,60664,66906,127570
AREA # 070408,Gyobingauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),33427,36791,70218
 Associate Scrutiny Card (blue),24,30,54
 Naturalised Scrutiny Card (green),158,159,317
 National Registration Card (3-fold),257,323,580
 Religious card,526,172,698
 Temporary Registration Card (white),65,88,153
 Foreign Registration Card (FRC),14,16,30
 Foreign Passport,6,17,23
 None,12812,15972,28784
 Child under 10 years,8460,8116,16576
 Total,55749,61684,117433
AREA # 080101,Magway,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),87834,99181,187015
 Associate Scrutiny Card (blue),41,47,88
 Naturalised Scrutiny Card (green),282,171,453
 National Registration Card (3-fold),1362,2851,4213
 Religious card,1412,268,1680
 Temporary Registration Card (white),89,109,198
 Foreign Registration Card (FRC),4,7,11
 Foreign Passport,43,19,62
 None,19443,27465,46908
 Child under 10 years,24593,24026,48619
 Total,135103,154144,289247
AREA # 080102,Yenangyoung,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),37690,47199,84889
 Associate Scrutiny Card (blue),26,37,63
 Naturalised Scrutiny Card (green),103,96,199
 National Registration Card (3-fold),517,964,1481
 Religious card,674,60,734
 Temporary Registration Card (white),32,45,77
 Foreign Registration Card (FRC),10,17,27
 Foreign Passport,67,14,81
 None,9446,13991,23437
 Child under 10 years,11663,11576,23239
 Total,60228,73999,134227
AREA # 080103,Chauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),51945,65427,117372
 Associate Scrutiny Card (blue),45,39,84
 Naturalised Scrutiny Card (green),119,100,219
 National Registration Card (3-fold),346,602,948
 Religious card,825,106,931
 Temporary Registration Card (white),104,245,349
 Foreign Registration Card (FRC),11,7,18
 Foreign Passport,9,13,22
 None,13404,20641,34045
 Child under 10 years,15577,15624,31201
 Total,82385,102804,185189
AREA # 080104,Taungdwingyi,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),78936,90720,169656
 Associate Scrutiny Card (blue),68,61,129
 Naturalised Scrutiny Card (green),214,136,350
 National Registration Card (3-fold),879,1692,2571
 Religious card,770,34,804
 Temporary Registration Card (white),94,101,195
 Foreign Registration Card (FRC),4,10,14
 Foreign Passport,23,26,49
 None,18614,21892,40506
 Child under 10 years,23104,22482,45586
 Total,122706,137154,259860
AREA # 080105,Myothit,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47451,54906,102357
 Associate Scrutiny Card (blue),13,15,28
 Naturalised Scrutiny Card (green),97,79,176
 National Registration Card (3-fold),464,736,1200
 Religious card,429,6,435
 Temporary Registration Card (white),57,37,94
 Foreign Registration Card (FRC),-,3,3
 Foreign Passport,14,6,20
 None,9422,13656,23078
 Child under 10 years,16092,16028,32120
 Total,74039,85472,159511
AREA # 080106,Natmauk,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),58095,74131,132226
 Associate Scrutiny Card (blue),18,26,44
 Naturalised Scrutiny Card (green),170,132,302
 National Registration Card (3-fold),481,919,1400
 Religious card,708,15,723
 Temporary Registration Card (white),78,81,159
 Foreign Registration Card (FRC),2,2,4
 Foreign Passport,6,20,26
 None,13557,19487,33044
 Child under 10 years,19659,19409,39068
 Total,92774,114222,206996
AREA # 080201,Minbu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),54419,60572,114991
 Associate Scrutiny Card (blue),42,32,74
 Naturalised Scrutiny Card (green),233,129,362
 National Registration Card (3-fold),1254,2423,3677
 Religious card,723,160,883
 Temporary Registration Card (white),105,123,228
 Foreign Registration Card (FRC),2,4,6
 Foreign Passport,14,17,31
 None,15603,20918,36521
 Child under 10 years,15867,15542,31409
 Total,88262,99920,188182
AREA # 080202,Pwint Phyu,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47109,50821,97930
 Associate Scrutiny Card (blue),15,25,40
 Naturalised Scrutiny Card (green),83,77,160
 National Registration Card (3-fold),360,619,979
 Religious card,601,59,660
 Temporary Registration Card (white),77,87,164
 Foreign Registration Card (FRC),3,4,7
 Foreign Passport,8,13,21
 None,14048,20982,35030
 Child under 10 years,14436,14265,28701
 Total,76740,86952,163692
AREA # 080203,Ngape,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),16467,18489,34956
 Associate Scrutiny Card (blue),1,6,7
 Naturalised Scrutiny Card (green),31,14,45
 National Registration Card (3-fold),24,26,50
 Religious card,170,19,189
 Temporary Registration Card (white),18,16,34
 Foreign Passport,11,-,11
 None,2942,3301,6243
 Child under 10 years,5411,5196,10607
 Total,25075,27067,52142
AREA # 080204,Salin,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),62543,69151,131694
 Associate Scrutiny Card (blue),25,39,64
 Naturalised Scrutiny Card (green),245,167,412
 National Registration Card (3-fold),1564,3126,4690
 Religious card,879,99,978
 Temporary Registration Card (white),152,180,332
 Foreign Registration Card (FRC),10,3,13
 Foreign Passport,33,25,58
 None,22620,34312,56932
 Child under 10 years,20654,20206,40860
 Total,108725,127308,236033
AREA # 080205,Saytottara,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),15639,16416,32055
 Associate Scrutiny Card (blue),4,2,6
 Naturalised Scrutiny Card (green),25,8,33
 National Registration Card (3-fold),59,71,130
 Religious card,192,22,214
 Temporary Registration Card (white),32,12,44
 Foreign Passport,2,4,6
 None,2906,3046,5952
 Child under 10 years,4479,4607,9086
 Total,23338,24188,47526
AREA # 080301,Thayet,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),34720,40371,75091
 Associate Scrutiny Card (blue),13,13,26
 Naturalised Scrutiny Card (green),82,51,133
 National Registration Card (3-fold),390,698,1088
 Religious card,404,59,463
 Temporary Registration Card (white),39,52,91
 Foreign Registration Card (FRC),56,53,109
 Foreign Passport,7,4,11
 None,6030,6307,12337
 Child under 10 years,7644,7354,14998
 Total,49385,54962,104347
AREA # 080302,Minhla,*,*
Identity card,Sex,*,*
*,Male,Female,Total
 Citizenship Scrutiny Card (pink),47647,44813,92460
 Associate Scrutiny Card (blue),19,19,38
 Naturalised Scrutiny Card (green),97,64,161
 National Registration Card (3-fold),293,543,836
 Religious card,364,36,400
 Temporary Registration Card (white),107,63,170
 Foreign Registration Card (FRC),9,15,24
 Foreign Passport,25,10,35
 None,13160,15874,29034
 Child under 10 years,11412,11512,22924
 Total,73133,72949,146082
AREA # 080303,Mindon,*,*
Identity card,Sex,*,*
*,Male,Female,Total
