Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Pit (Traditional pit latrine),192,474,666,Shwebo,MMR005004
 Bucket (Surface latrine),13,69,82,Shwebo,MMR005004
 Other,22,150,172,Shwebo,MMR005004
 No toilet,441,8284,8725,Shwebo,MMR005004
 Total,13531,36716,50247,Shwebo,MMR005004
 Flush,40,413,453,Khin U,MMR005005
 Water seal (Improved pit latrine),2118,17318,19436,Khin U,MMR005005
 Pit (Traditional pit latrine),1,4661,4662,Khin U,MMR005005
 Bucket (Surface latrine),1,67,68,Khin U,MMR005005
 Other,3,38,41,Khin U,MMR005005
 No toilet,128,7836,7964,Khin U,MMR005005
 Total,2291,30333,32624,Khin U,MMR005005
 Flush,55,552,607,Wetlet,MMR005006
 Water seal (Improved pit latrine),2133,25617,27750,Wetlet,MMR005006
 Pit (Traditional pit latrine),13,2789,2802,Wetlet,MMR005006
 Bucket (Surface latrine),-,46,46,Wetlet,MMR005006
 Other,2,131,133,Wetlet,MMR005006
 No toilet,103,15271,15374,Wetlet,MMR005006
 Total,2306,44406,46712,Wetlet,MMR005006
 Flush,84,703,787,Kambalu,MMR005007
 Water seal (Improved pit latrine),4481,34588,39069,Kambalu,MMR005007
 Pit (Traditional pit latrine),375,12437,12812,Kambalu,MMR005007
 Bucket (Surface latrine),1,261,262,Kambalu,MMR005007
 Other,5,775,780,Kambalu,MMR005007
 No toilet,237,7379,7616,Kambalu,MMR005007
 Total,5183,56143,61326,Kambalu,MMR005007
 Flush,30,23,53,Kyunhlau,MMR005008
 Water seal (Improved pit latrine),2439,16527,18966,Kyunhlau,MMR005008
 Pit (Traditional pit latrine),7,350,357,Kyunhlau,MMR005008
 Bucket (Surface latrine),2,38,40,Kyunhlau,MMR005008
 Other,-,141,141,Kyunhlau,MMR005008
 No toilet,21,1285,1306,Kyunhlau,MMR005008
 Total,2499,18364,20863,Kyunhlau,MMR005008
 Flush,62,160,222,Ye U,MMR005009
 Water seal (Improved pit latrine),3556,17662,21218,Ye U,MMR005009
 Pit (Traditional pit latrine),110,1016,1126,Ye U,MMR005009
 Bucket (Surface latrine),4,49,53,Ye U,MMR005009
 Other,3,101,104,Ye U,MMR005009
 No toilet,230,3420,3650,Ye U,MMR005009
 Total,3965,22408,26373,Ye U,MMR005009
 Flush,116,197,313,Depayin,MMR005010
 Water seal (Improved pit latrine),793,18205,18998,Depayin,MMR005010
 Pit (Traditional pit latrine),15,803,818,Depayin,MMR005010
 Bucket (Surface latrine),-,92,92,Depayin,MMR005010
 Other,1,53,54,Depayin,MMR005010
 No toilet,30,10040,10070,Depayin,MMR005010
 Total,955,29390,30345,Depayin,MMR005010
 Flush,106,314,420,Tasei,MMR005011
 Water seal (Improved pit latrine),2701,26224,28925,Tasei,MMR005011
 Pit (Traditional pit latrine),111,2098,2209,Tasei,MMR005011
 Bucket (Surface latrine),-,36,36,Tasei,MMR005011
 Other,-,62,62,Tasei,MMR005011
 No toilet,54,4231,4285,Tasei,MMR005011
 Total,2972,32965,35937,Tasei,MMR005011
 Flush,28,112,140,Kyaukmyaung(ST),MMR005004
 Water seal (Improved pit latrine),1727,2228,3955,Kyaukmyaung(ST),MMR005004
 Pit (Traditional pit latrine),17,187,204,Kyaukmyaung(ST),MMR005004
 Bucket (Surface latrine),2,90,92,Kyaukmyaung(ST),MMR005004
 Other,2,-,2,Kyaukmyaung(ST),MMR005004
 No toilet,530,2127,2657,Kyaukmyaung(ST),MMR005004
 Total,2306,4744,7050,Kyaukmyaung(ST),MMR005004
 Flush,1310,338,1648,Monywa,MMR005012
 Water seal (Improved pit latrine),35920,25392,61312,Monywa,MMR005012
 Pit (Traditional pit latrine),1764,1038,2802,Monywa,MMR005012
 Bucket (Surface latrine),36,28,64,Monywa,MMR005012
 Other,49,72,121,Monywa,MMR005012
 No toilet,1327,8688,10015,Monywa,MMR005012
 Total,40406,35556,75962,Monywa,MMR005012
 Flush,14,280,294,Butalin,MMR005013
 Water seal (Improved pit latrine),1111,18125,19236,Butalin,MMR005013
 Pit (Traditional pit latrine),2,372,374,Butalin,MMR005013
 Bucket (Surface latrine),1,55,56,Butalin,MMR005013
 Other,19,22,41,Butalin,MMR005013
 No toilet,46,8569,8615,Butalin,MMR005013
 Total,1193,27423,28616,Butalin,MMR005013
 Flush,16,237,253,Ayartaw,MMR005014
 Water seal (Improved pit latrine),1986,21895,23881,Ayartaw,MMR005014
 Pit (Traditional pit latrine),31,2005,2036,Ayartaw,MMR005014
 Bucket (Surface latrine),5,172,177,Ayartaw,MMR005014
 Other,1,202,203,Ayartaw,MMR005014
 No toilet,116,8925,9041,Ayartaw,MMR005014
 Total,2155,33436,35591,Ayartaw,MMR005014
 Flush,93,432,525,Chaung Oo,MMR005015
 Water seal (Improved pit latrine),4229,13551,17780,Chaung Oo,MMR005015
 Pit (Traditional pit latrine),27,196,223,Chaung Oo,MMR005015
 Bucket (Surface latrine),8,22,30,Chaung Oo,MMR005015
 Other,6,31,37,Chaung Oo,MMR005015
 No toilet,718,4063,4781,Chaung Oo,MMR005015
 Total,5081,18295,23376,Chaung Oo,MMR005015
 Flush,177,78,255,Katha,MMR005020
 Water seal (Improved pit latrine),4811,18489,23300,Katha,MMR005020
 Pit (Traditional pit latrine),159,4261,4420,Katha,MMR005020
 Bucket (Surface latrine),7,164,171,Katha,MMR005020
 Other,6,207,213,Katha,MMR005020
 No toilet,103,3499,3602,Katha,MMR005020
 Total,5263,26698,31961,Katha,MMR005020
 Flush,26,39,65,Indaw,MMR005021
 Water seal (Improved pit latrine),729,6616,7345,Indaw,MMR005021
 Pit (Traditional pit latrine),1077,14121,15198,Indaw,MMR005021
 Bucket (Surface latrine),4,109,113,Indaw,MMR005021
 Other,1,201,202,Indaw,MMR005021
 No toilet,5,302,307,Indaw,MMR005021
 Total,1842,21388,23230,Indaw,MMR005021
 Flush,24,296,320,Tigyaing,MMR005022
 Water seal (Improved pit latrine),2698,17536,20234,Tigyaing,MMR005022
 Pit (Traditional pit latrine),106,1509,1615,Tigyaing,MMR005022
 Bucket (Surface latrine),3,87,90,Tigyaing,MMR005022
 Other,3,66,69,Tigyaing,MMR005022
 No toilet,236,3825,4061,Tigyaing,MMR005022
 Total,3070,23319,26389,Tigyaing,MMR005022
 Flush,51,42,93,Banmauk,MMR005023
 Water seal (Improved pit latrine),1148,11910,13058,Banmauk,MMR005023
 Pit (Traditional pit latrine),10,4879,4889,Banmauk,MMR005023
 Bucket (Surface latrine),1,100,101,Banmauk,MMR005023
 Other,-,201,201,Banmauk,MMR005023
 No toilet,2,524,526,Banmauk,MMR005023
 Total,1212,17656,18868,Banmauk,MMR005023
 Flush,109,276,385,Kawlin,MMR005024
 Water seal (Improved pit latrine),4086,20195,24281,Kawlin,MMR005024
 Pit (Traditional pit latrine),362,4654,5016,Kawlin,MMR005024
 Bucket (Surface latrine),1,58,59,Kawlin,MMR005024
 Other,-,30,30,Kawlin,MMR005024
 No toilet,11,1621,1632,Kawlin,MMR005024
 Total,4569,26834,31403,Kawlin,MMR005024
 Flush,30,44,74,Wuntho,MMR005025
 Water seal (Improved pit latrine),2493,9360,11853,Wuntho,MMR005025
 Pit (Traditional pit latrine),49,1783,1832,Wuntho,MMR005025
 Bucket (Surface latrine),-,12,12,Wuntho,MMR005025
 Other,2,25,27,Wuntho,MMR005025
 No toilet,16,391,407,Wuntho,MMR005025
 Total,2590,11615,14205,Wuntho,MMR005025
 Flush,19,1,20,Pinlebu,MMR005026
 Water seal (Improved pit latrine),329,824,1153,Pinlebu,MMR005026
 Pit (Traditional pit latrine),1104,18398,19502,Pinlebu,MMR005026
 Bucket (Surface latrine),6,183,189,Pinlebu,MMR005026
 Other,6,352,358,Pinlebu,MMR005026
 No toilet,5,673,678,Pinlebu,MMR005026
 Total,1469,20431,21900,Pinlebu,MMR005026
 Flush,445,300,745,Kalay,MMR014005
 Water seal (Improved pit latrine),21741,36541,58282,Kalay,MMR014005
 Pit (Traditional pit latrine),3356,8438,11794,Kalay,MMR014005
 Bucket (Surface latrine),23,148,171,Kalay,MMR014005
 Other,53,299,352,Kalay,MMR014005
 No toilet,103,1322,1425,Kalay,MMR014005
 Total,25721,47048,72769,Kalay,MMR014005
 Flush,11,23,34,Kalewa,MMR005028
 Water seal (Improved pit latrine),1790,8269,10059,Kalewa,MMR005028
 Pit (Traditional pit latrine),21,362,383,Kalewa,MMR005028
 Bucket (Surface latrine),11,27,38,Kalewa,MMR005028
 Other,16,29,45,Kalewa,MMR005028
 No toilet,104,1072,1176,Kalewa,MMR005028
 Total,1953,9782,11735,Kalewa,MMR005028
 Flush,11,74,85,Mingin,MMR005029
 Water seal (Improved pit latrine),765,15151,15916,Mingin,MMR005029
 Pit (Traditional pit latrine),6,563,569,Mingin,MMR005029
 Bucket (Surface latrine),1,86,87,Mingin,MMR005029
 Other,-,90,90,Mingin,MMR005029
 No toilet,53,5258,5311,Mingin,MMR005029
 Total,836,21222,22058,Mingin,MMR005029
 Flush,164,2,166,Tamu,MMR005030
 Water seal (Improved pit latrine),8673,2694,11367,Tamu,MMR005030
 Pit (Traditional pit latrine),72,223,295,Tamu,MMR005030
 Bucket (Surface latrine),1,8,9,Tamu,MMR005030
 Other,18,11,29,Tamu,MMR005030
 No toilet,61,59,120,Tamu,MMR005030
 Total,8989,2997,11986,Tamu,MMR005030
 Flush,-,2,2,Myothit(ST),MMR005030
 Water seal (Improved pit latrine),296,2610,2906,Myothit(ST),MMR005030
 Pit (Traditional pit latrine),8,77,85,Myothit(ST),MMR005030
 Bucket (Surface latrine),-,16,16,Myothit(ST),MMR005030
 Other,-,10,10,Myothit(ST),MMR005030
 No toilet,4,74,78,Myothit(ST),MMR005030
 Total,308,2789,3097,Myothit(ST),MMR005030
 Flush,55,-,55,Khampat(ST),MMR005030
 Water seal (Improved pit latrine),2622,4234,6856,Khampat(ST),MMR005030
 Pit (Traditional pit latrine),75,238,313,Khampat(ST),MMR005030
 Bucket (Surface latrine),1,5,6,Khampat(ST),MMR005030
 Other,4,22,26,Khampat(ST),MMR005030
 No toilet,81,171,252,Khampat(ST),MMR005030
 Total,2838,4670,7508,Khampat(ST),MMR005030
 Flush,10,36,46,Mawlaik,MMR005031
 Water seal (Improved pit latrine),1718,7582,9300,Mawlaik,MMR005031
 Pit (Traditional pit latrine),44,306,350,Mawlaik,MMR005031
 Bucket (Surface latrine),1,79,80,Mawlaik,MMR005031
 Other,-,14,14,Mawlaik,MMR005031
 No toilet,51,504,555,Mawlaik,MMR005031
 Total,1824,8521,10345,Mawlaik,MMR005031
 Flush,3,126,129,Phaungpyin,MMR005032
 Water seal (Improved pit latrine),1765,13607,15372,Phaungpyin,MMR005032
 Pit (Traditional pit latrine),161,3907,4068,Phaungpyin,MMR005032
 Bucket (Surface latrine),3,136,139,Phaungpyin,MMR005032
 Other,6,62,68,Phaungpyin,MMR005032
 No toilet,4,466,470,Phaungpyin,MMR005032
 Total,1942,18304,20246,Phaungpyin,MMR005032
 Flush,42,163,205,Hkamti,MMR005033
 Water seal (Improved pit latrine),1999,3047,5046,Hkamti,MMR005033
 Pit (Traditional pit latrine),90,866,956,Hkamti,MMR005033
 Bucket (Surface latrine),7,149,156,Hkamti,MMR005033
 Other,4,166,170,Hkamti,MMR005033
 No toilet,41,787,828,Hkamti,MMR005033
 Total,2183,5178,7361,Hkamti,MMR005033
 Flush,56,378,434,Homalin,MMR005034
 Water seal (Improved pit latrine),3437,23058,26495,Homalin,MMR005034
 Pit (Traditional pit latrine),39,6791,6830,Homalin,MMR005034
 Bucket (Surface latrine),7,294,301,Homalin,MMR005034
 Other,11,344,355,Homalin,MMR005034
 No toilet,25,1303,1328,Homalin,MMR005034
 Total,3575,32168,35743,Homalin,MMR005034
 Flush,-,4,4,Leshi,MMR005035
 Water seal (Improved pit latrine),205,689,894,Leshi,MMR005035
 Pit (Traditional pit latrine),36,501,537,Leshi,MMR005035
 Bucket (Surface latrine),4,53,57,Leshi,MMR005035
 Other,3,17,20,Leshi,MMR005035
 No toilet,5,139,144,Leshi,MMR005035
 Total,253,1403,1656,Leshi,MMR005035
 Flush,1,80,81,Lahe,MMR005036
 Water seal (Improved pit latrine),465,542,1007,Lahe,MMR005036
 Pit (Traditional pit latrine),64,1603,1667,Lahe,MMR005036
 Bucket (Surface latrine),2,1622,1624,Lahe,MMR005036
 Other,1,425,426,Lahe,MMR005036
 No toilet,5,2167,2172,Lahe,MMR005036
 Total,538,6439,6977,Lahe,MMR005036
 Flush,2,1,3,Nanyun,MMR005037
 Water seal (Improved pit latrine),348,374,722,Nanyun,MMR005037
 Pit (Traditional pit latrine),25,718,743,Nanyun,MMR005037
 Bucket (Surface latrine),-,62,62,Nanyun,MMR005037
 Other,-,7,7,Nanyun,MMR005037
 No toilet,-,31,31,Nanyun,MMR005037
 Total,375,1193,1568,Nanyun,MMR005037
 Water seal (Improved pit latrine),194,78,272,Mobaingluk(ST),MMR005035
 Pit (Traditional pit latrine),6,-,6,Mobaingluk(ST),MMR005035
 Bucket (Surface latrine),-,1,1,Mobaingluk(ST),MMR005035
 Other,10,1,11,Mobaingluk(ST),MMR005035
 No toilet,-,20,20,Mobaingluk(ST),MMR005035
 Total,210,100,310,Mobaingluk(ST),MMR005035
 Flush,26,2,28,Sonemara(ST),MMR005035
 Water seal (Improved pit latrine),166,594,760,Sonemara(ST),MMR005035
 Pit (Traditional pit latrine),75,140,215,Sonemara(ST),MMR005035
 Bucket (Surface latrine),1,82,83,Sonemara(ST),MMR005035
 Other,-,3,3,Sonemara(ST),MMR005035
 No toilet,18,87,105,Sonemara(ST),MMR005035
 Total,286,908,1194,Sonemara(ST),MMR005035
 Water seal (Improved pit latrine),36,231,267,Htanparkway(ST),MMR005036
 Pit (Traditional pit latrine),3,80,83,Htanparkway(ST),MMR005036
 Bucket (Surface latrine),1,2,3,Htanparkway(ST),MMR005036
 No toilet,88,320,408,Htanparkway(ST),MMR005036
 Total,128,633,761,Htanparkway(ST),MMR005036
 Flush,-,20,20,Pansaung(ST),MMR005037
 Water seal (Improved pit latrine),251,496,747,Pansaung(ST),MMR005037
 Pit (Traditional pit latrine),51,1205,1256,Pansaung(ST),MMR005037
 Bucket (Surface latrine),17,229,246,Pansaung(ST),MMR005037
 Other,16,42,58,Pansaung(ST),MMR005037
 No toilet,3,19,22,Pansaung(ST),MMR005037
 Total,338,2011,2349,Pansaung(ST),MMR005037
 Flush,-,2,2,Donhee(ST),MMR005037
 Water seal (Improved pit latrine),83,169,252,Donhee(ST),MMR005037
 Pit (Traditional pit latrine),86,1396,1482,Donhee(ST),MMR005037
 Bucket (Surface latrine),-,1013,1013,Donhee(ST),MMR005037
 Other,-,194,194,Donhee(ST),MMR005037
 No toilet,-,980,980,Donhee(ST),MMR005037
 Total,169,3754,3923,Donhee(ST),MMR005037
 Flush,20,84,104,Yinmarpin,MMR005016
 Water seal (Improved pit latrine),1027,20010,21037,Yinmarpin,MMR005016
 Pit (Traditional pit latrine),8,369,377,Yinmarpin,MMR005016
 Bucket (Surface latrine),1,29,30,Yinmarpin,MMR005016
 Other,3,177,180,Yinmarpin,MMR005016
 No toilet,18,7786,7804,Yinmarpin,MMR005016
 Total,1077,28455,29532,Yinmarpin,MMR005016
 Flush,14,459,473,Salingyi,MMR005018
 Water seal (Improved pit latrine),1091,17515,18606,Salingyi,MMR005018
 Pit (Traditional pit latrine),3,213,216,Salingyi,MMR005018
 Bucket (Surface latrine),2,19,21,Salingyi,MMR005018
 Other,24,142,166,Salingyi,MMR005018
 No toilet,88,6897,6985,Salingyi,MMR005018
 Total,1222,25245,26467,Salingyi,MMR005018
 Flush,7,72,79,Palae,MMR005019
 Water seal (Improved pit latrine),868,19812,20680,Palae,MMR005019
 Pit (Traditional pit latrine),4,715,719,Palae,MMR005019
 Bucket (Surface latrine),1,82,83,Palae,MMR005019
 Other,-,153,153,Palae,MMR005019
 No toilet,51,10597,10648,Palae,MMR005019
 Total,931,31431,32362,Palae,MMR005019
 Flush,2,253,255,Kani,MMR005017
 Water seal (Improved pit latrine),1053,20695,21748,Kani,MMR005017
 Pit (Traditional pit latrine),25,891,916,Kani,MMR005017
 Bucket (Surface latrine),1,142,143,Kani,MMR005017
 Other,1,100,101,Kani,MMR005017
 No toilet,56,6004,6060,Kani,MMR005017
 Total,1138,28085,29223,Kani,MMR005017
 Flush,933,161,1094,Dawei,MMR006001
 Water seal (Improved pit latrine),14043,6713,20756,Dawei,MMR006001
 Pit (Traditional pit latrine),114,1401,1515,Dawei,MMR006001
 Bucket (Surface latrine),51,144,195,Dawei,MMR006001
 Other,61,55,116,Dawei,MMR006001
 No toilet,180,1087,1267,Dawei,MMR006001
 Total,15382,9561,24943,Dawei,MMR006001
 Flush,20,293,313,Lounglon,MMR006002
 Water seal (Improved pit latrine),1077,15591,16668,Lounglon,MMR006002
 Pit (Traditional pit latrine),75,2092,2167,Lounglon,MMR006002
 Bucket (Surface latrine),15,781,796,Lounglon,MMR006002
 Other,-,71,71,Lounglon,MMR006002
 No toilet,53,5667,5720,Lounglon,MMR006002
 Total,1240,24495,25735,Lounglon,MMR006002
 Flush,107,147,254,Thayetchaung,MMR006003
 Water seal (Improved pit latrine),2169,15474,17643,Thayetchaung,MMR006003
 Pit (Traditional pit latrine),42,1498,1540,Thayetchaung,MMR006003
 Bucket (Surface latrine),34,382,416,Thayetchaung,MMR006003
 Other,-,132,132,Thayetchaung,MMR006003
 No toilet,55,2834,2889,Thayetchaung,MMR006003
 Total,2407,20467,22874,Thayetchaung,MMR006003
 Flush,20,197,217,Yebyu,MMR006004
 Water seal (Improved pit latrine),937,13521,14458,Yebyu,MMR006004
 Pit (Traditional pit latrine),94,2213,2307,Yebyu,MMR006004
 Bucket (Surface latrine),2,228,230,Yebyu,MMR006004
 Other,6,117,123,Yebyu,MMR006004
 No toilet,18,4720,4738,Yebyu,MMR006004
 Total,1077,20996,22073,Yebyu,MMR006004
 Flush,5,28,33,Myitta(ST),MMR006001
 Water seal (Improved pit latrine),403,2264,2667,Myitta(ST),MMR006001
 Pit (Traditional pit latrine),37,654,691,Myitta(ST),MMR006001
 Bucket (Surface latrine),10,27,37,Myitta(ST),MMR006001
 Other,2,27,29,Myitta(ST),MMR006001
 No toilet,39,694,733,Myitta(ST),MMR006001
 Total,496,3694,4190,Myitta(ST),MMR006001
 Flush,17,17,34,Kaleinaung(ST),MMR006004
 Water seal (Improved pit latrine),533,2608,3141,Kaleinaung(ST),MMR006004
 Pit (Traditional pit latrine),10,363,373,Kaleinaung(ST),MMR006004
 Bucket (Surface latrine),2,13,15,Kaleinaung(ST),MMR006004
 Other,2,27,29,Kaleinaung(ST),MMR006004
 No toilet,60,625,685,Kaleinaung(ST),MMR006004
 Total,624,3653,4277,Kaleinaung(ST),MMR006004
 Flush,309,253,562,Myeik,MMR006005
 Water seal (Improved pit latrine),19401,25004,44405,Myeik,MMR006005
 Pit (Traditional pit latrine),599,1733,2332,Myeik,MMR006005
 Bucket (Surface latrine),1129,2043,3172,Myeik,MMR006005
 Other,33,241,274,Myeik,MMR006005
 No toilet,77,3527,3604,Myeik,MMR006005
 Total,21548,32801,54349,Myeik,MMR006005
 Flush,6,108,114,Kyunsu,MMR006006
 Water seal (Improved pit latrine),920,8368,9288,Kyunsu,MMR006006
 Pit (Traditional pit latrine),35,2183,2218,Kyunsu,MMR006006
 Bucket (Surface latrine),139,10176,10315,Kyunsu,MMR006006
 Other,11,859,870,Kyunsu,MMR006006
 No toilet,31,10152,10183,Kyunsu,MMR006006
 Total,1142,31846,32988,Kyunsu,MMR006006
 Flush,70,172,242,Palaw,MMR006007
 Water seal (Improved pit latrine),2898,7192,10090,Palaw,MMR006007
 Pit (Traditional pit latrine),244,3065,3309,Palaw,MMR006007
 Bucket (Surface latrine),95,1623,1718,Palaw,MMR006007
 Other,2,326,328,Palaw,MMR006007
 No toilet,262,2576,2838,Palaw,MMR006007
 Total,3571,14954,18525,Palaw,MMR006007
 Flush,16,65,81,Tanintharyi,MMR006008
 Water seal (Improved pit latrine),1041,12615,13656,Tanintharyi,MMR006008
 Pit (Traditional pit latrine),30,3176,3206,Tanintharyi,MMR006008
 Bucket (Surface latrine),8,315,323,Tanintharyi,MMR006008
 Other,5,234,239,Tanintharyi,MMR006008
 No toilet,26,2398,2424,Tanintharyi,MMR006008
 Total,1126,18803,19929,Tanintharyi,MMR006008
 Flush,32,102,134,Palauk(ST),MMR006007
 Water seal (Improved pit latrine),834,3041,3875,Palauk(ST),MMR006007
 Pit (Traditional pit latrine),191,801,992,Palauk(ST),MMR006007
 Bucket (Surface latrine),20,298,318,Palauk(ST),MMR006007
 Other,-,90,90,Palauk(ST),MMR006007
 No toilet,134,1585,1719,Palauk(ST),MMR006007
 Total,1211,5917,7128,Palauk(ST),MMR006007
 Flush,269,81,350,Kawthoung,MMR006009
 Water seal (Improved pit latrine),11522,8076,19598,Kawthoung,MMR006009
 Pit (Traditional pit latrine),104,839,943,Kawthoung,MMR006009
 Bucket (Surface latrine),357,1002,1359,Kawthoung,MMR006009
 Other,131,248,379,Kawthoung,MMR006009
 No toilet,197,2655,2852,Kawthoung,MMR006009
 Total,12580,12901,25481,Kawthoung,MMR006009
 Flush,13,44,57,Bokepyin,MMR006010
 Water seal (Improved pit latrine),661,2767,3428,Bokepyin,MMR006010
 Pit (Traditional pit latrine),25,368,393,Bokepyin,MMR006010
 Bucket (Surface latrine),261,2600,2861,Bokepyin,MMR006010
 Other,46,117,163,Bokepyin,MMR006010
 No toilet,41,1933,1974,Bokepyin,MMR006010
 Total,1047,7829,8876,Bokepyin,MMR006010
 Flush,13,37,50,Khamaukgyi,MMR006009
 Water seal (Improved pit latrine),1177,1566,2743,Khamaukgyi,MMR006009
 Pit (Traditional pit latrine),911,319,1230,Khamaukgyi,MMR006009
 Bucket (Surface latrine),54,28,82,Khamaukgyi,MMR006009
 Other,17,11,28,Khamaukgyi,MMR006009
 No toilet,183,549,732,Khamaukgyi,MMR006009
 Total,2355,2510,4865,Khamaukgyi,MMR006009
 Flush,-,11,11,Pyigyimandaing,MMR006010
 Water seal (Improved pit latrine),270,694,964,Pyigyimandaing,MMR006010
 Pit (Traditional pit latrine),276,274,550,Pyigyimandaing,MMR006010
 Bucket (Surface latrine),66,687,753,Pyigyimandaing,MMR006010
 Other,3,69,72,Pyigyimandaing,MMR006010
 No toilet,100,654,754,Pyigyimandaing,MMR006010
 Total,715,2389,3104,Pyigyimandaing,MMR006010
 Flush,21,9,30,Karathuri(ST),MMR006010
 Water seal (Improved pit latrine),225,1462,1687,Karathuri(ST),MMR006010
 Pit (Traditional pit latrine),1,39,40,Karathuri(ST),MMR006010
 Bucket (Surface latrine),3,1052,1055,Karathuri(ST),MMR006010
 Other,1,232,233,Karathuri(ST),MMR006010
 No toilet,35,682,717,Karathuri(ST),MMR006010
 Total,286,3476,3762,Karathuri(ST),MMR006010
 Flush,1085,303,1388,Bago,MMR007001
 Water seal (Improved pit latrine),49927,37977,87904,Bago,MMR007001
 Pit (Traditional pit latrine),2187,1854,4041,Bago,MMR007001
 Bucket (Surface latrine),536,3800,4336,Bago,MMR007001
 Other,193,1005,1198,Bago,MMR007001
 No toilet,964,7301,8265,Bago,MMR007001
 Total,54892,52240,107132,Bago,MMR007001
 Flush,43,103,146,Tanatpin,MMR007002
 Water seal (Improved pit latrine),2284,7315,9599,Tanatpin,MMR007002
 Pit (Traditional pit latrine),70,734,804,Tanatpin,MMR007002
 Bucket (Surface latrine),1095,13967,15062,Tanatpin,MMR007002
 Other,13,851,864,Tanatpin,MMR007002
 No toilet,124,5928,6052,Tanatpin,MMR007002
 Total,3629,28898,32527,Tanatpin,MMR007002
 Flush,187,173,360,Kawa,MMR007003
 Water seal (Improved pit latrine),2855,21710,24565,Kawa,MMR007003
 Pit (Traditional pit latrine),76,1231,1307,Kawa,MMR007003
 Bucket (Surface latrine),884,12054,12938,Kawa,MMR007003
 Other,33,992,1025,Kawa,MMR007003
 No toilet,219,5661,5880,Kawa,MMR007003
 Total,4254,41821,46075,Kawa,MMR007003
 Flush,59,49,108,Waw,MMR007004
 Water seal (Improved pit latrine),4010,17463,21473,Waw,MMR007004
 Pit (Traditional pit latrine),77,2358,2435,Waw,MMR007004
 Bucket (Surface latrine),561,5571,6132,Waw,MMR007004
 Other,18,442,460,Waw,MMR007004
 No toilet,321,6154,6475,Waw,MMR007004
 Total,5046,32037,37083,Waw,MMR007004
 Flush,225,70,295,Nyaunglebin,MMR007005
 Water seal (Improved pit latrine),11324,25589,36913,Nyaunglebin,MMR007005
 Pit (Traditional pit latrine),461,2076,2537,Nyaunglebin,MMR007005
 Bucket (Surface latrine),347,1280,1627,Nyaunglebin,MMR007005
 Other,61,161,222,Nyaunglebin,MMR007005
 No toilet,644,2524,3168,Nyaunglebin,MMR007005
 Total,13062,31700,44762,Nyaunglebin,MMR007005
 Flush,85,230,315,Kyauktaga,MMR007006
 Water seal (Improved pit latrine),6091,33309,39400,Kyauktaga,MMR007006
 Pit (Traditional pit latrine),425,5426,5851,Kyauktaga,MMR007006
 Bucket (Surface latrine),15,865,880,Kyauktaga,MMR007006
 Other,22,403,425,Kyauktaga,MMR007006
 No toilet,235,4542,4777,Kyauktaga,MMR007006
 Total,6873,44775,51648,Kyauktaga,MMR007006
 Flush,151,343,494,Daik U,MMR007007
 Water seal (Improved pit latrine),7716,26898,34614,Daik U,MMR007007
 Pit (Traditional pit latrine),481,4887,5368,Daik U,MMR007007
 Bucket (Surface latrine),80,1912,1992,Daik U,MMR007007
 Other,7,50,57,Daik U,MMR007007
 No toilet,305,2923,3228,Daik U,MMR007007
 Total,8740,37013,45753,Daik U,MMR007007
 Flush,65,73,138,Shwegyin,MMR007008
 Water seal (Improved pit latrine),4386,10651,15037,Shwegyin,MMR007008
 Pit (Traditional pit latrine),198,1492,1690,Shwegyin,MMR007008
 Bucket (Surface latrine),68,766,834,Shwegyin,MMR007008
 Other,13,434,447,Shwegyin,MMR007008
 No toilet,135,3501,3636,Shwegyin,MMR007008
 Total,4865,16917,21782,Shwegyin,MMR007008
 Flush,570,195,765,Toungoo,MMR007009
 Water seal (Improved pit latrine),18917,25022,43939,Toungoo,MMR007009
 Pit (Traditional pit latrine),1925,3285,5210,Toungoo,MMR007009
 Bucket (Surface latrine),32,1191,1223,Toungoo,MMR007009
 Other,47,238,285,Toungoo,MMR007009
 No toilet,409,5629,6038,Toungoo,MMR007009
 Total,21900,35560,57460,Toungoo,MMR007009
 Flush,117,512,629,Yaedashe,MMR007010
 Water seal (Improved pit latrine),4849,27918,32767,Yaedashe,MMR007010
 Pit (Traditional pit latrine),681,1828,2509,Yaedashe,MMR007010
 Bucket (Surface latrine),18,1712,1730,Yaedashe,MMR007010
 Other,50,860,910,Yaedashe,MMR007010
 No toilet,240,11742,11982,Yaedashe,MMR007010
 Total,5955,44572,50527,Yaedashe,MMR007010
 Flush,17,41,58,Kyaukkyi,MMR007011
 Water seal (Improved pit latrine),1945,14576,16521,Kyaukkyi,MMR007011
 Pit (Traditional pit latrine),31,342,373,Kyaukkyi,MMR007011
 Bucket (Surface latrine),15,697,712,Kyaukkyi,MMR007011
 Other,8,374,382,Kyaukkyi,MMR007011
 No toilet,242,4595,4837,Kyaukkyi,MMR007011
 Total,2258,20625,22883,Kyaukkyi,MMR007011
 Flush,187,408,595,Pyu,MMR007012
 Water seal (Improved pit latrine),12011,33901,45912,Pyu,MMR007012
 Pit (Traditional pit latrine),914,1504,2418,Pyu,MMR007012
 Bucket (Surface latrine),68,771,839,Pyu,MMR007012
 Other,75,643,718,Pyu,MMR007012
 No toilet,572,3877,4449,Pyu,MMR007012
 Total,13827,41104,54931,Pyu,MMR007012
